CELL|band2|SHOPPING|AG|AG5054|43|234146|2674|3850853
CELL|band2|SHOPPING|AG|AG5559|43|202890|1529|2220634
CELL|band2|SHOPPING|AG|AG6099|20|199184|979|1269236
CELL|band2|SHOPPING|AG|AGXXXX|43|825170|3750|5301100
CELL|band2|SHOPPING|GN|GNF|43|911160|8533|12527962
CELL|band2|SHOPPING|GN|GNM|43|1054093|14497|21185730
CELL|band2|SHOPPING|GN|GNU|43|794590|3405|4816917
CELL|band2|WEB_SITE|AD|AD0099|49|962561|7450|7392325
CELL|band2|WEB_SITE|AD|AD0101001|20|78352|1172|830081
CELL|band2|WEB_SITE|AD|AD0101002|20|10614|182|134150
CELL|band2|WEB_SITE|AD|AD0101003|20|33061|538|392734
CELL|band2|WEB_SITE|AD|AD0101004|20|64958|677|521591
CELL|band2|WEB_SITE|AD|AD0101005|20|87833|1250|830658
CELL|band2|WEB_SITE|AD|AD0101006|20|29092|403|318006
CELL|band2|WEB_SITE|AD|AD0101007|20|14379|202|130797
CELL|band2|WEB_SITE|AD|AD0101008|20|1211|17|9920
CELL|band2|WEB_SITE|AD|AD0101009|20|17511|211|186690
CELL|band2|WEB_SITE|AD|AD0101010|20|29208|455|332608
CELL|band2|WEB_SITE|AD|AD0102001|20|1863|23|17750
CELL|band2|WEB_SITE|AD|AD0102002|20|1299|20|12820
CELL|band2|WEB_SITE|AG|AG0013|46|4278|42|31074
CELL|band2|WEB_SITE|AG|AG1418|49|32083|241|196575
CELL|band2|WEB_SITE|AG|AG1924|49|56950|399|372463
CELL|band2|WEB_SITE|AG|AG2529|49|102124|813|758960
CELL|band2|WEB_SITE|AG|AG3034|49|152495|1489|1378189
CELL|band2|WEB_SITE|AG|AG3539|49|155019|1449|1330997
CELL|band2|WEB_SITE|AG|AG4044|49|188434|1813|1645138
CELL|band2|WEB_SITE|AG|AG4549|49|161055|1786|1646594
CELL|band2|WEB_SITE|AG|AG5054|49|113528|1522|1319939
CELL|band2|WEB_SITE|AG|AG5559|49|70415|1018|837910
CELL|band2|WEB_SITE|AG|AG6099|49|82968|1211|919313
CELL|band2|WEB_SITE|AG|AGXXXX|49|212593|817|672984
CELL|band2|WEB_SITE|GN|GNF|49|437615|3919|3536808
CELL|band2|WEB_SITE|GN|GNM|49|692990|7962|6979356
CELL|band2|WEB_SITE|GN|GNU|49|201337|719|593963
CELL|band2|WEB_SITE|SD|SDFRI0024|20|76682|820|571290
CELL|band2|WEB_SITE|SD|SDMON0024|20|78489|962|699197
CELL|band2|WEB_SITE|SD|SDSAT0024|20|70772|826|565920
CELL|band2|WEB_SITE|SD|SDSUN0024|20|67646|842|569920
CELL|band2|WEB_SITE|SD|SDTHU0024|20|76701|871|623260
CELL|band2|WEB_SITE|SD|SDTUE0024|20|80562|961|690340
CELL|band2|WEB_SITE|SD|SDWED0024|20|79987|894|637020
CELL|band3|SHOPPING|AG|AG0013|135|86178|620|555148
CELL|band3|SHOPPING|AG|AG1418|135|707765|2333|2409261
CELL|band3|SHOPPING|AG|AG1924|135|1054818|1956|1710509
CELL|band3|SHOPPING|AG|AG2529|174|1741125|3391|3388024
CELL|band3|SHOPPING|AG|AG3034|174|2039206|4834|5021814
CELL|band3|SHOPPING|AG|AG3539|174|2096481|5028|5172857
CELL|band3|SHOPPING|AG|AG4044|174|2733601|6294|6445593
CELL|band3|SHOPPING|AG|AG4549|174|2484952|5773|5869573
CELL|band3|SHOPPING|AG|AG5054|174|2470253|4352|4131204
CELL|band3|SHOPPING|AG|AG5559|174|1935489|2984|2640593
CELL|band3|SHOPPING|AG|AG6099|136|2494868|3382|2785946
CELL|band3|SHOPPING|AG|AGXXXX|174|4261382|5904|7000703
CELL|band3|SHOPPING|GN|GNF|174|7584419|15419|15424011
CELL|band3|SHOPPING|GN|GNM|174|12408354|26202|25537443
CELL|band3|SHOPPING|GN|GNU|174|4113345|5230|6169744
CELL|band3|WEB_SITE|AD|AD0099|119|2279573|12250|9702000
CELL|band3|WEB_SITE|AD|AD0101001|31|102832|1362|707427
CELL|band3|WEB_SITE|AD|AD0101002|31|10314|160|76980
CELL|band3|WEB_SITE|AD|AD0101003|31|25849|435|209374
CELL|band3|WEB_SITE|AD|AD0101004|31|57722|715|361980
CELL|band3|WEB_SITE|AD|AD0101005|31|91978|1049|493704
CELL|band3|WEB_SITE|AD|AD0101006|31|46352|573|315340
CELL|band3|WEB_SITE|AD|AD0101007|31|14472|211|107530
CELL|band3|WEB_SITE|AD|AD0101008|28|4021|71|32920
CELL|band3|WEB_SITE|AD|AD0101009|31|36717|527|243330
CELL|band3|WEB_SITE|AD|AD0101010|31|45179|807|416590
CELL|band3|WEB_SITE|AD|AD0102001|31|2166|25|11890
CELL|band3|WEB_SITE|AD|AD0102002|29|1666|23|10190
CELL|band3|WEB_SITE|AG|AG0013|115|16213|100|65371
CELL|band3|WEB_SITE|AG|AG1418|117|106621|611|480518
CELL|band3|WEB_SITE|AG|AG1924|119|148885|790|598649
CELL|band3|WEB_SITE|AG|AG2529|119|226006|1285|899010
CELL|band3|WEB_SITE|AG|AG3034|119|304612|1962|1344355
CELL|band3|WEB_SITE|AG|AG3539|119|302476|2033|1389157
CELL|band3|WEB_SITE|AG|AG4044|119|363353|2563|1748814
CELL|band3|WEB_SITE|AG|AG4549|119|304782|2476|1751048
CELL|band3|WEB_SITE|AG|AG5054|119|204789|2129|1524169
CELL|band3|WEB_SITE|AG|AG5559|119|121723|1386|957198
CELL|band3|WEB_SITE|AG|AG6099|117|141496|1673|1123058
CELL|band3|WEB_SITE|AG|AGXXXX|119|477885|1200|807902
CELL|band3|WEB_SITE|GN|GNF|119|989380|7574|5216529
CELL|band3|WEB_SITE|GN|GNM|119|1274432|9542|6730223
CELL|band3|WEB_SITE|GN|GNU|119|455029|1092|742502
CELL|band3|WEB_SITE|SD|SDFRI0003|2|1491|5|2937
CELL|band3|WEB_SITE|SD|SDFRI0024|27|72036|816|412180
CELL|band3|WEB_SITE|SD|SDFRI0724|2|19063|68|33771
CELL|band3|WEB_SITE|SD|SDMON0003|2|1768|5|2258
CELL|band3|WEB_SITE|SD|SDMON0024|27|78341|942|488130
CELL|band3|WEB_SITE|SD|SDMON0724|2|21186|73|35475
CELL|band3|WEB_SITE|SD|SDSAT0003|2|1582|2|910
CELL|band3|WEB_SITE|SD|SDSAT0024|27|71348|849|424320
CELL|band3|WEB_SITE|SD|SDSAT1124|2|15383|60|32897
CELL|band3|WEB_SITE|SD|SDSUN0003|2|1793|12|7126
CELL|band3|WEB_SITE|SD|SDSUN0024|27|73101|939|454520
CELL|band3|WEB_SITE|SD|SDSUN0724|2|19451|60|35877
CELL|band3|WEB_SITE|SD|SDTHU0003|2|1556|3|2042
CELL|band3|WEB_SITE|SD|SDTHU0024|27|74418|908|476500
CELL|band3|WEB_SITE|SD|SDTHU0724|2|19661|71|39651
CELL|band3|WEB_SITE|SD|SDTUE0003|2|1590|2|1100
CELL|band3|WEB_SITE|SD|SDTUE0024|27|77360|957|491900
CELL|band3|WEB_SITE|SD|SDTUE0724|2|20571|80|39036
CELL|band3|WEB_SITE|SD|SDWED0003|2|1515|3|1736
CELL|band3|WEB_SITE|SD|SDWED0024|27|74862|899|471170
CELL|band3|WEB_SITE|SD|SDWED0724|2|20268|66|34037
CELL|band4_unjudgeable|SHOPPING|AG|AG0013|36|5550|29|20663
CELL|band4_unjudgeable|SHOPPING|AG|AG1418|39|17499|68|60382
CELL|band4_unjudgeable|SHOPPING|AG|AG1924|42|12260|54|45242
CELL|band4_unjudgeable|SHOPPING|AG|AG2529|43|13304|41|39884
CELL|band4_unjudgeable|SHOPPING|AG|AG3034|43|16066|33|30992
CELL|band4_unjudgeable|SHOPPING|AG|AG3539|43|14770|38|31559
CELL|band4_unjudgeable|SHOPPING|AG|AG4044|43|16037|42|38806
CELL|band4_unjudgeable|SHOPPING|AG|AG4549|43|13473|57|51265
CELL|band4_unjudgeable|SHOPPING|AG|AG5054|43|12777|48|41375
CELL|band4_unjudgeable|SHOPPING|AG|AG5559|43|9799|38|37662
CELL|band4_unjudgeable|SHOPPING|AG|AG6099|40|14581|39|35319
CELL|band4_unjudgeable|SHOPPING|AG|AGXXXX|43|71396|67|66270
CELL|band4_unjudgeable|SHOPPING|GN|GNF|43|70057|192|165725
CELL|band4_unjudgeable|SHOPPING|GN|GNM|43|77794|305|280222
CELL|band4_unjudgeable|SHOPPING|GN|GNU|43|69661|57|53472
CELL|band4_unjudgeable|WEB_SITE|AD|AD0099|94|154672|920|443469
CELL|band4_unjudgeable|WEB_SITE|AD|AD0101001|19|5916|25|11670
CELL|band4_unjudgeable|WEB_SITE|AD|AD0101002|17|1210|3|1680
CELL|band4_unjudgeable|WEB_SITE|AD|AD0101003|19|3778|21|10020
CELL|band4_unjudgeable|WEB_SITE|AD|AD0101004|19|6904|24|9720
CELL|band4_unjudgeable|WEB_SITE|AD|AD0101005|19|6296|17|6530
CELL|band4_unjudgeable|WEB_SITE|AD|AD0101006|19|1838|17|6430
CELL|band4_unjudgeable|WEB_SITE|AD|AD0101007|19|1262|13|5900
CELL|band4_unjudgeable|WEB_SITE|AD|AD0101008|15|358|1|310
CELL|band4_unjudgeable|WEB_SITE|AD|AD0101009|19|2553|8|2670
CELL|band4_unjudgeable|WEB_SITE|AD|AD0101010|19|1706|18|9410
