band,dim_type,dim_value,imp,clk,cost,rank_sum,n_groups,ctr_pct,cpc
excluded_cost0,h,12,1,0,0,3,1,0.0,
excluded_cost0,h,13,2,0,0,2,1,0.0,
excluded_cost0,h,14,1,0,0,17,1,0.0,
excluded_cost0,h,15,2,0,0,16,1,0.0,
excluded_cost0,h,16,3,0,0,18,1,0.0,
excluded_cost0,h,17,1,0,0,2,1,0.0,
excluded_cost0,m,27758,1,0,0,1,1,0.0,
excluded_cost0,m,33421,3,0,0,5,1,0.0,
excluded_cost0,m,341893,11,0,0,73,1,0.0,
excluded_cost0,m,612593,2,0,0,38,1,0.0,
excluded_cost0,m,684925,1,0,0,1,1,0.0,
excluded_cost0,m,8753,5,0,0,16,2,0.0,
excluded_cost0,r,02,5,0,0,19,2,0.0,
excluded_cost0,r,03,1,0,0,8,1,0.0,
excluded_cost0,r,05,1,0,0,8,1,0.0,
excluded_cost0,r,06,1,0,0,12,1,0.0,
excluded_cost0,r,08,1,0,0,1,1,0.0,
excluded_cost0,r,09,6,0,0,33,2,0.0,
excluded_cost0,r,11,1,0,0,14,1,0.0,
excluded_cost0,r,12,2,0,0,4,1,0.0,
excluded_cost0,r,13,1,0,0,8,1,0.0,
excluded_cost0,r,15,2,0,0,23,2,0.0,
excluded_cost0,r,16,2,0,0,4,1,0.0,
