band,hour_code,media_code,imp,clk,cost,n_groups,cpc
band3,11,11068,33,20,25029,14,1251.5
band3,11,122876,6,4,2323,4,580.8
band3,11,27758,439,128,188509,38,1472.7
band3,11,33421,99,42,58084,29,1383.0
band3,11,341893,68,41,36346,22,886.5
band3,11,341898,8,5,5849,5,1169.8
band3,11,370822,13,9,8952,7,994.7
band3,11,424040,37,16,5630,9,351.9
band3,11,684924,5,4,3852,4,963.0
band3,11,684925,64,9,10940,3,1215.6
band3,11,684926,253,90,109931,41,1221.5
band3,11,684927,48,20,27341,17,1367.0
band3,11,8753,1772,328,464580,75,1416.4
band3,12,11068,73,24,29895,15,1245.6
band3,12,122876,1,1,829,1,829.0
band3,12,27758,304,84,123112,29,1465.6
band3,12,33421,142,45,61710,29,1371.3
band3,12,341893,102,47,43216,23,919.5
band3,12,341898,3,3,4335,2,1445.0
band3,12,370822,3,4,4066,4,1016.5
band3,12,424040,21,7,4209,6,601.3
band3,12,684924,14,9,10083,8,1120.3
band3,12,684925,8,4,4954,3,1238.5
band3,12,684926,305,91,121685,39,1337.2
band3,12,684927,29,17,21328,14,1254.6
band3,12,8753,1808,346,486826,74,1407.0
band3,13,11068,78,26,37912,14,1458.2
band3,13,122876,2,1,1153,1,1153.0
band3,13,27758,701,176,245508,40,1394.9
band3,13,33421,133,52,65416,30,1258.0
band3,13,341893,139,63,57649,29,915.1
band3,13,341898,16,9,10953,9,1217.0
band3,13,370822,6,5,6242,5,1248.4
band3,13,424040,18,11,5199,7,472.6
band3,13,612593,1,1,1750,1,1750.0
band3,13,684924,29,6,6466,4,1077.7
band3,13,684925,13,8,11686,5,1460.8
band3,13,684926,274,68,92957,26,1367.0
band3,13,684927,43,26,32413,18,1246.7
band3,13,8753,1929,366,507695,72,1387.1
band3,14,11068,82,31,32986,16,1064.1
band3,14,122876,2,2,1190,2,595.0
band3,14,27758,610,149,203382,39,1365.0
band3,14,33421,158,65,86250,37,1326.9
band3,14,341893,83,54,61149,34,1132.4
band3,14,341898,13,7,8935,5,1276.4
band3,14,370822,4,3,1936,3,645.3
band3,14,424040,21,12,6103,8,508.6
band3,14,612594,2,2,1493,2,746.5
band3,14,684924,49,11,11678,7,1061.6
band3,14,684925,45,9,10850,3,1205.6
band3,14,684926,374,110,139897,46,1271.8
band3,14,684927,78,33,38424,24,1164.4
band3,14,8753,1767,358,509498,73,1423.2
band3,15,11068,59,27,37005,14,1370.6
band3,15,122876,7,3,819,3,273.0
band3,15,27758,500,144,199995,45,1388.9
band3,15,33421,107,46,60824,28,1322.3
band3,15,341893,76,38,34359,19,904.2
band3,15,341898,7,6,5341,6,890.2
band3,15,370822,9,5,2949,5,589.8
band3,15,424040,37,17,5712,6,336.0
band3,15,612594,1,1,1566,1,1566.0
band3,15,684924,138,16,20289,10,1268.1
band3,15,684925,37,10,13032,5,1303.2
band3,15,684926,333,83,109597,34,1320.4
band3,15,684927,55,23,29284,17,1273.2
band3,15,8753,2119,349,489308,67,1402.0
band3,16,11068,107,35,48417,17,1383.3
band3,16,122876,10,3,1300,3,433.3
band3,16,27758,517,140,185035,36,1321.7
band3,16,33421,150,52,70992,29,1365.2
band3,16,341893,140,63,58786,32,933.1
band3,16,341898,5,4,4320,4,1080.0
band3,16,370822,6,5,5749,5,1149.8
band3,16,424040,37,15,3781,7,252.1
band3,16,684924,24,6,7333,2,1222.2
band3,16,684925,39,13,16100,8,1238.5
band3,16,684926,262,80,101874,38,1273.4
band3,16,684927,40,19,24431,13,1285.8
band3,16,8753,2886,414,553693,68,1337.4
band3,17,11068,78,31,40960,20,1321.3
band3,17,118495,1,1,805,1,805.0
band3,17,122876,2,2,1107,2,553.5
band3,17,27758,364,107,143538,33,1341.5
band3,17,33421,207,66,97024,38,1470.1
band3,17,341893,142,65,58214,35,895.6
band3,17,341898,17,13,12159,10,935.3
band3,17,370822,6,6,7043,6,1173.8
band3,17,424040,25,13,3993,7,307.2
band3,17,612593,2,1,2211,1,2211.0
band3,17,612594,2,1,1450,1,1450.0
band3,17,684924,262,15,18239,10,1215.9
band3,17,684925,29,6,6489,5,1081.5
band3,17,684926,348,97,127114,36,1310.5
band3,17,684927,55,22,24725,14,1123.9
band3,17,8753,1540,302,416518,71,1379.2
band3,18,11068,102,22,26600,16,1209.1
band3,18,27758,207,60,76719,20,1278.7
band3,18,33421,170,54,72511,35,1342.8
band3,18,341893,106,45,43299,28,962.2
band3,18,341898,15,11,11738,10,1067.1
band3,18,424040,43,16,5318,8,332.4
band3,18,612594,1,1,1297,1,1297.0
band3,18,684924,51,12,14591,6,1215.9
band3,18,684925,37,7,8640,3,1234.3
band3,18,684926,299,95,124764,42,1313.3
band3,18,684927,19,9,11171,8,1241.2
band3,18,805760,2,1,1581,1,1581.0
band3,18,8753,2035,398,551974,75,1386.9
band3,19,11068,23,16,19777,14,1236.1
band3,19,27758,102,53,69490,19,1311.1
band3,19,33421,200,74,96616,39,1305.6
band3,19,341893,143,52,53186,34,1022.8
band3,19,341898,5,5,6224,5,1244.8
band3,19,370822,2,2,3457,2,1728.5
band3,19,424040,29,19,9684,12,509.7
band3,19,684924,63,8,9181,8,1147.6
band3,19,684925,13,7,6016,3,859.4
band3,19,684926,301,119,147694,49,1241.1
band3,19,684927,37,15,19860,12,1324.0
band3,19,8753,2622,398,537189,79,1349.7
band3,20,11068,40,22,31119,16,1414.5
band3,20,122876,2,2,1404,2,702.0
band3,20,27758,211,75,95887,24,1278.5
band3,20,33421,385,83,103016,37,1241.2
band3,20,341893,148,62,52601,32,848.4
band3,20,341898,19,14,19114,11,1365.3
band3,20,370822,2,2,1607,2,803.5
band3,20,424040,31,15,7286,9,485.7
band3,20,612593,1,1,1141,1,1141.0
band3,20,612594,2,1,1740,1,1740.0
band3,20,684924,105,13,17221,10,1324.7
band3,20,684925,12,3,2296,2,765.3
band3,20,684926,346,113,155611,52,1377.1
band3,20,684927,42,16,18846,12,1177.9
band3,20,8753,3012,446,614873,81,1378.6
band3,21,11068,50,20,25063,16,1253.2
band3,21,122876,2,2,800,2,400.0
band3,21,27758,109,47,60629,20,1290.0
band3,21,33421,273,81,104501,41,1290.1
band3,21,341893,155,62,57929,35,934.3
band3,21,341898,14,11,13776,11,1252.4
band3,21,370822,5,4,3516,4,879.0
band3,21,424040,22,11,5422,7,492.9
band3,21,684924,117,22,26296,12,1195.3
band3,21,684925,7,5,5489,3,1097.8
band3,21,684926,443,117,144378,51,1234.0
band3,21,684927,40,16,16683,10,1042.7
band3,21,8753,3846,510,700418,92,1373.4
band3,21,87620,2,1,1046,1,1046.0
band3,22,11068,40,20,26709,14,1335.5
band3,22,122876,7,2,2380,2,1190.0
band3,22,27758,111,46,58495,27,1271.6
band3,22,33421,322,78,99196,39,1271.7
band3,22,341893,169,68,67188,33,988.1
band3,22,341898,15,7,7348,6,1049.7
band3,22,370822,1,1,1140,1,1140.0
band3,22,424040,37,19,7256,10,381.9
band3,22,612593,1,1,830,1,830.0
band3,22,612594,1,1,1479,1,1479.0
band3,22,684924,176,10,11671,8,1167.1
band3,22,684925,7,4,4007,4,1001.8
band3,22,684926,416,119,136688,55,1148.6
band3,22,684927,40,15,20877,12,1391.8
band3,22,8753,3969,491,660408,76,1345.0
band3,23,11068,42,18,23670,13,1315.0
band3,23,122876,28,1,876,1,876.0
band3,23,27758,130,45,54868,24,1219.3
band3,23,33421,380,77,94989,45,1233.6
band3,23,341893,149,53,44474,29,839.1
band3,23,341898,15,11,9472,10,861.1
band3,23,424040,14,12,4220,9,351.7
band3,23,684924,31,7,7848,4,1121.1
band3,23,684925,3,1,987,1,987.0
band3,23,684926,366,108,133138,54,1232.8
band3,23,684927,39,12,11509,9,959.1
band3,23,8753,2526,387,503665,90,1301.5
band4_unjudgeable,00,122876,1,1,240,1,240.0
band4_unjudgeable,00,33421,15,5,5130,5,1026.0
band4_unjudgeable,00,341893,7,3,2093,3,697.7
band4_unjudgeable,00,341898,4,1,980,1,980.0
band4_unjudgeable,00,684926,5,2,1801,2,900.5
band4_unjudgeable,00,8753,19,6,5444,3,907.3
band4_unjudgeable,01,11068,1,1,820,1,820.0
band4_unjudgeable,01,27758,4,1,1200,1,1200.0
band4_unjudgeable,01,33421,0,1,594,1,594.0
band4_unjudgeable,01,341893,2,2,1900,2,950.0
band4_unjudgeable,01,424040,10,2,280,1,140.0
band4_unjudgeable,01,684924,1,1,950,1,950.0
band4_unjudgeable,01,8753,16,7,6619,4,945.6
band4_unjudgeable,02,341893,1,1,604,1,604.0
band4_unjudgeable,02,424040,13,4,1880,1,470.0
band4_unjudgeable,02,684926,3,1,1024,1,1024.0
band4_unjudgeable,02,8753,0,1,660,1,660.0
band4_unjudgeable,03,341893,1,1,820,1,820.0
band4_unjudgeable,04,424040,1,1,380,1,380.0
band4_unjudgeable,05,27758,1,1,1190,1,1190.0
band4_unjudgeable,05,8753,1,1,777,1,777.0
band4_unjudgeable,05,87620,1,1,55,1,55.0
band4_unjudgeable,06,341893,2,2,1496,1,748.0
band4_unjudgeable,06,684926,2,2,1232,2,616.0
band4_unjudgeable,06,8753,2,2,2030,2,1015.0
band4_unjudgeable,07,33421,2,1,723,1,723.0
band4_unjudgeable,07,341893,2,2,1334,2,667.0
band4_unjudgeable,07,684926,3,2,1518,2,759.0
band4_unjudgeable,08,122876,1,1,370,1,370.0
band4_unjudgeable,08,33421,7,3,3072,2,1024.0
band4_unjudgeable,08,424040,4,2,800,1,400.0
band4_unjudgeable,08,684926,1,1,693,1,693.0
band4_unjudgeable,08,8753,7,2,2340,2,1170.0
band4_unjudgeable,09,27758,3,2,1966,2,983.0
band4_unjudgeable,09,684924,1,1,798,1,798.0
band4_unjudgeable,09,684926,7,3,3098,3,1032.7
band4_unjudgeable,09,8753,6,3,2998,3,999.3
band4_unjudgeable,10,33421,9,3,3297,3,1099.0
band4_unjudgeable,10,424040,7,2,220,1,110.0
band4_unjudgeable,10,684926,8,3,2181,3,727.0
band4_unjudgeable,10,8753,4,3,2948,3,982.7
band4_unjudgeable,11,122876,1,1,410,1,410.0
band4_unjudgeable,11,341893,6,1,760,1,760.0
band4_unjudgeable,11,424040,17,6,770,1,128.3
band4_unjudgeable,11,8753,6,4,4222,4,1055.5
band4_unjudgeable,12,33421,1,1,1200,1,1200.0
band4_unjudgeable,12,341893,2,2,908,2,454.0
band4_unjudgeable,12,424040,16,3,390,1,130.0
band4_unjudgeable,12,684926,12,2,2010,2,1005.0
band4_unjudgeable,12,8753,5,2,2390,2,1195.0
band4_unjudgeable,13,137281,1,1,672,1,672.0
band4_unjudgeable,13,27758,5,3,2564,3,854.7
band4_unjudgeable,13,33421,2,1,1150,1,1150.0
band4_unjudgeable,13,424040,4,1,400,1,400.0
band4_unjudgeable,13,8753,12,7,6322,5,903.1
band4_unjudgeable,14,11068,1,1,1200,1,1200.0
band4_unjudgeable,14,33421,16,3,3510,3,1170.0
band4_unjudgeable,14,341893,1,1,1100,1,1100.0
band4_unjudgeable,14,341898,1,1,600,1,600.0
band4_unjudgeable,14,424040,12,3,400,1,133.3
band4_unjudgeable,14,684926,1,1,55,1,55.0
band4_unjudgeable,14,684927,1,1,1010,1,1010.0
band4_unjudgeable,14,8753,5,4,3571,3,892.8
band4_unjudgeable,15,27758,4,2,1862,2,931.0
band4_unjudgeable,15,33421,4,1,1123,1,1123.0
band4_unjudgeable,15,341893,1,1,690,1,690.0
band4_unjudgeable,15,424040,6,1,110,1,110.0
band4_unjudgeable,15,684926,5,3,2860,3,953.3
band4_unjudgeable,15,8753,1,1,223,1,223.0
band4_unjudgeable,16,33421,8,2,1511,2,755.5
band4_unjudgeable,16,341893,4,3,2131,3,710.3
band4_unjudgeable,16,341898,1,1,690,1,690.0
band4_unjudgeable,16,370822,4,2,1436,2,718.0
band4_unjudgeable,16,424040,17,3,890,1,296.7
band4_unjudgeable,16,684925,2,1,1190,1,1190.0
band4_unjudgeable,16,684926,1,1,1190,1,1190.0
band4_unjudgeable,16,8753,5,2,2170,2,1085.0
band4_unjudgeable,17,33421,2,1,640,1,640.0
band4_unjudgeable,17,341893,1,1,711,1,711.0
band4_unjudgeable,17,424040,3,2,600,1,300.0
band4_unjudgeable,17,684924,1,1,1200,1,1200.0
band4_unjudgeable,17,684926,4,2,2080,2,1040.0
band4_unjudgeable,17,684927,2,1,131,1,131.0
band4_unjudgeable,17,8753,8,4,4234,4,1058.5
band4_unjudgeable,18,33421,4,1,1170,1,1170.0
band4_unjudgeable,18,341893,1,1,1030,1,1030.0
band4_unjudgeable,18,370822,1,1,1200,1,1200.0
band4_unjudgeable,18,424040,20,4,1190,1,297.5
band4_unjudgeable,18,684925,1,1,1200,1,1200.0
band4_unjudgeable,18,684926,5,3,2856,3,952.0
band4_unjudgeable,18,8753,15,3,3083,3,1027.7
band4_unjudgeable,19,11068,1,1,1180,1,1180.0
band4_unjudgeable,19,27758,5,3,2822,3,940.7
band4_unjudgeable,19,33421,22,6,6980,5,1163.3
band4_unjudgeable,19,341893,1,1,650,1,650.0
band4_unjudgeable,19,424040,13,3,440,1,146.7
band4_unjudgeable,19,684926,1,1,422,1,422.0
band4_unjudgeable,19,684927,1,1,1120,1,1120.0
band4_unjudgeable,19,8753,11,8,7541,7,942.6
band4_unjudgeable,20,33421,20,1,1200,1,1200.0
band4_unjudgeable,20,341893,3,1,1000,1,1000.0
band4_unjudgeable,20,341898,1,1,587,1,587.0
band4_unjudgeable,20,424040,29,7,1510,1,215.7
band4_unjudgeable,20,684926,12,4,3770,3,942.5
band4_unjudgeable,20,791888,2,1,493,1,493.0
band4_unjudgeable,20,8753,23,5,4652,4,930.4
band4_unjudgeable,21,33421,8,3,2959,3,986.3
band4_unjudgeable,21,341893,9,5,3360,3,672.0
band4_unjudgeable,21,424040,4,1,400,1,400.0
band4_unjudgeable,21,684926,7,1,1010,1,1010.0
band4_unjudgeable,21,684927,2,2,2080,2,1040.0
band4_unjudgeable,21,8753,36,6,6666,5,1111.0
band4_unjudgeable,22,27758,4,1,638,1,638.0
band4_unjudgeable,22,33421,2,2,1192,2,596.0
band4_unjudgeable,22,341893,4,3,1947,3,649.0
band4_unjudgeable,22,424040,15,2,520,1,260.0
band4_unjudgeable,22,684926,14,3,2912,3,970.7
band4_unjudgeable,22,684927,2,1,980,1,980.0
band4_unjudgeable,22,8753,37,9,8132,6,903.6
band4_unjudgeable,23,11068,3,2,1745,2,872.5
band4_unjudgeable,23,33421,12,4,3825,4,956.2
band4_unjudgeable,23,341893,1,1,1010,1,1010.0
band4_unjudgeable,23,424040,10,2,250,1,125.0
band4_unjudgeable,23,684926,13,4,2221,3,555.2
band4_unjudgeable,23,8753,51,5,5127,3,1025.4
