adgroup_id,hour_code,region_code,media_code,imp,clk,cost,n_days
grp-a001-02-000000044108257,13,08,8753,1,1,1634,1
grp-a001-02-000000044108257,13,09,27758,2,1,1577,1
grp-a001-02-000000044108257,13,09,684926,1,1,1533,1
grp-a001-02-000000044108257,13,09,684927,1,1,1469,1
grp-a001-02-000000044108257,13,13,27758,1,1,1589,1
grp-a001-02-000000044108257,13,13,8753,1,1,1549,1
grp-a001-02-000000044108257,13,99,8753,2,1,1544,1
grp-a001-02-000000044108257,14,02,27758,0,1,1604,1
grp-a001-02-000000044108257,14,02,8753,1,1,1649,1
grp-a001-02-000000044108257,14,04,8753,1,1,1544,1
grp-a001-02-000000044108257,14,07,684926,3,1,1650,1
grp-a001-02-000000044108257,14,08,341893,2,1,1429,1
grp-a001-02-000000044108257,14,99,8753,3,2,3339,2
grp-a001-02-000000044108257,15,02,341893,2,2,2138,2
grp-a001-02-000000044108257,15,02,684926,2,1,1891,1
grp-a001-02-000000044108257,15,03,684927,1,1,1293,1
grp-a001-02-000000044108257,15,04,11068,1,1,1372,1
grp-a001-02-000000044108257,15,04,27758,1,1,1695,1
grp-a001-02-000000044108257,15,06,33421,2,1,1364,1
grp-a001-02-000000044108257,15,09,27758,11,5,7791,5
grp-a001-02-000000044108257,15,09,8753,4,2,3254,2
grp-a001-02-000000044108257,16,01,27758,2,1,1650,1
grp-a001-02-000000044108257,16,02,27758,6,2,3203,2
grp-a001-02-000000044108257,16,02,684926,1,1,1823,1
grp-a001-02-000000044108257,16,08,27758,1,1,1419,1
grp-a001-02-000000044108257,16,09,684925,1,1,1517,1
grp-a001-02-000000044108257,16,09,8753,2,1,1505,1
grp-a001-02-000000044108257,16,99,8753,1,1,1584,1
grp-a001-02-000000044108257,17,02,27758,2,2,3236,2
grp-a001-02-000000044108257,17,02,684925,1,1,1263,1
grp-a001-02-000000044108257,17,02,8753,3,2,3095,2
grp-a001-02-000000044108257,17,04,8753,1,1,1603,1
grp-a001-02-000000044108257,17,06,684926,2,1,1627,1
grp-a001-02-000000044108257,17,07,8753,1,1,1828,1
grp-a001-02-000000044108257,17,08,341893,1,1,1197,1
grp-a001-02-000000044108257,17,09,27758,2,2,3504,2
grp-a001-02-000000044108257,17,09,8753,3,1,1672,1
grp-a001-02-000000044108257,17,11,27758,1,1,1612,1
grp-a001-02-000000044108257,17,15,8753,1,1,1543,1
grp-a001-02-000000044108257,17,99,8753,1,1,1739,1
grp-a001-02-000000044108257,18,02,27758,0,1,1016,1
grp-a001-02-000000044108257,18,02,341893,3,2,2942,2
grp-a001-02-000000044108257,18,09,8753,3,1,1722,1
grp-a001-02-000000044108257,18,99,8753,4,1,1736,1
grp-a001-02-000000044108257,19,02,11068,2,1,1769,1
grp-a001-02-000000044108257,19,02,27758,1,1,1342,1
grp-a001-02-000000044108257,19,02,684925,1,1,1597,1
grp-a001-02-000000044108257,19,02,684926,1,1,1482,1
grp-a001-02-000000044108257,19,02,8753,5,1,1515,1
grp-a001-02-000000044108257,19,04,11068,1,1,1528,1
grp-a001-02-000000044108257,19,09,33421,10,1,1569,1
grp-a001-02-000000044108257,19,09,684926,4,1,1374,1
grp-a001-02-000000044108257,19,11,8753,7,1,1432,1
grp-a001-02-000000044108257,19,15,8753,1,1,1543,1
grp-a001-02-000000044108257,20,02,684927,2,1,1579,1
grp-a001-02-000000044108257,20,06,684926,1,1,1386,1
grp-a001-02-000000044108257,20,09,8753,2,1,1870,1
grp-a001-02-000000044108257,20,13,684927,1,1,1639,1
grp-a001-02-000000044108257,21,02,11068,1,1,1737,1
grp-a001-02-000000044108257,21,02,684926,12,1,1555,1
grp-a001-02-000000044108257,21,02,8753,3,1,1573,1
grp-a001-02-000000044108257,21,07,27758,1,1,1611,1
grp-a001-02-000000044108257,21,08,8753,1,1,1622,1
grp-a001-02-000000044108257,21,09,684926,3,1,1545,1
grp-a001-02-000000044108257,21,12,341893,1,1,1001,1
grp-a001-02-000000044108257,21,15,8753,1,1,1484,1
grp-a001-02-000000044108257,21,18,33421,1,1,1818,1
grp-a001-02-000000044108257,21,99,8753,4,1,1572,1
grp-a001-02-000000044108257,22,02,684926,4,1,1624,1
grp-a001-02-000000044108257,22,02,684927,1,1,1410,1
grp-a001-02-000000044108257,22,02,8753,2,1,1128,1
grp-a001-02-000000044108257,22,04,27758,1,1,1114,1
grp-a001-02-000000044108257,22,07,684926,1,1,1785,1
grp-a001-02-000000044108257,22,07,8753,1,1,1624,1
grp-a001-02-000000044108257,22,09,8753,3,1,1601,1
grp-a001-02-000000044108257,22,11,8753,1,1,1614,1
grp-a001-02-000000044108257,22,15,341893,2,1,1474,1
grp-a001-02-000000044108257,23,02,33421,1,1,1650,1
grp-a001-02-000000044108257,23,02,8753,1,1,1455,1
grp-a001-02-000000044108257,23,03,33421,2,1,1464,1
grp-a001-02-000000044108257,23,08,8753,4,2,3285,2
grp-a001-02-000000044108257,23,09,8753,1,1,1631,1
grp-a001-02-000000044108257,23,15,684926,1,1,1561,1
grp-a001-02-000000044108257,23,17,684926,3,1,1468,1
grp-a001-02-000000044108257,23,99,684926,2,1,1543,1
grp-a001-02-000000044108615,01,02,8753,3,1,1528,1
grp-a001-02-000000044108615,04,02,33421,1,1,1599,1
grp-a001-02-000000044108615,07,02,684926,3,1,1465,1
grp-a001-02-000000044108615,07,02,8753,5,2,2615,2
grp-a001-02-000000044108615,07,04,8753,1,1,1421,1
grp-a001-02-000000044108615,07,12,341893,1,1,1323,1
grp-a001-02-000000044108615,10,09,8753,2,1,1382,1
grp-a001-02-000000044108615,10,16,11068,1,1,1422,1
grp-a001-02-000000044108615,11,01,8753,1,1,1425,1
grp-a001-02-000000044108615,11,02,33421,1,1,1420,1
grp-a001-02-000000044108615,11,09,684927,3,1,1473,1
grp-a001-02-000000044108615,11,13,8753,1,1,1596,1
grp-a001-02-000000044108615,11,99,8753,1,1,1474,1
grp-a001-02-000000044108615,12,01,27758,1,1,1196,1
grp-a001-02-000000044108615,12,02,8753,2,1,1455,1
grp-a001-02-000000044108615,13,04,27758,1,1,1431,1
grp-a001-02-000000044108615,13,04,8753,1,1,1474,1
grp-a001-02-000000044108615,13,06,8753,1,1,1474,1
grp-a001-02-000000044108615,13,09,8753,1,1,1452,1
grp-a001-02-000000044108615,13,99,8753,1,1,1074,1
grp-a001-02-000000044108615,14,02,684927,2,1,1473,1
grp-a001-02-000000044108615,14,02,8753,2,2,3061,2
grp-a001-02-000000044108615,14,08,8753,1,1,1469,1
grp-a001-02-000000044108615,14,99,8753,3,2,2883,2
grp-a001-02-000000044108615,15,02,8753,2,1,1474,1
grp-a001-02-000000044108615,15,04,27758,1,1,1464,1
grp-a001-02-000000044108615,15,15,8753,1,1,1461,1
grp-a001-02-000000044108615,16,02,684926,3,2,2332,2
grp-a001-02-000000044108615,16,02,8753,1,1,1474,1
grp-a001-02-000000044108615,16,03,8753,1,1,1454,1
grp-a001-02-000000044108615,16,06,27758,1,1,1125,1
grp-a001-02-000000044108615,16,09,8753,1,1,1617,1
grp-a001-02-000000044108615,16,12,8753,1,1,1454,1
grp-a001-02-000000044108615,16,15,8753,1,1,1617,1
grp-a001-02-000000044108615,16,17,8753,1,1,1445,1
grp-a001-02-000000044108615,17,01,27758,1,1,1303,1
grp-a001-02-000000044108615,17,02,33421,1,1,1414,1
grp-a001-02-000000044108615,17,02,8753,1,1,1448,1
grp-a001-02-000000044108615,17,04,33421,1,1,1507,1
grp-a001-02-000000044108615,17,09,27758,1,1,1408,1
