adgroup_id|mall_product_id|channel_product_no|status_type|whole_category_name|sale_price|discounted_price|stock_quantity
grp-a001-02-000000043610882|6818140640|6818140640|SUSPENSION|디지털/가전>휴대폰액세서리>휴대폰보호필름>전신보호필름|12900|8900|39929
grp-a001-02-000000043610882|6818260625||||||
grp-a001-02-000000043610882|6818287511|6818287511|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|20800|19600|991
grp-a001-02-000000043610882|6818291037|6818291037|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|20800|19600|94
grp-a001-02-000000043610882|6821542253|6821542253|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>전신보호필름|12900|8900|9971
grp-a001-02-000000043610882|6821566017||||||
grp-a001-02-000000043610882|6891081964|6891081964|SALE|디지털/가전>휴대폰액세서리>웨어러블 디바이스 액세서리|13900|8900|31968
grp-a001-02-000000043610882|6891343928|6891343928|SALE|디지털/가전>휴대폰액세서리>웨어러블 디바이스 액세서리|13900|8900|1000
grp-a001-02-000000043610882|6891351882|6891351882|SALE|디지털/가전>휴대폰액세서리>웨어러블 디바이스 액세서리|13900|9700|998
grp-a001-02-000000043610882|6943920907||||||
grp-a001-02-000000043610882|6961116851|6961116851|OUTOFSTOCK|디지털/가전>휴대폰액세서리>휴대폰케이스>갤럭시 케이스|16900|12900|0
grp-a001-02-000000043610882|7029691798|7029691798|SUSPENSION|디지털/가전>휴대폰액세서리>휴대폰보호필름>전신보호필름|19800|17800|3936
grp-a001-02-000000043610882|7053845786|7053845786|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|22900|16800|683
grp-a001-02-000000043610882|7119767278||||||
grp-a001-02-000000043610882|7154351025||||||
grp-a001-02-000000043610882|7216775425|7216775425|OUTOFSTOCK|디지털/가전>휴대폰액세서리>웨어러블 디바이스 액세서리|8900|4900|0
grp-a001-02-000000043610882|7264138096|7264138096|SALE|디지털/가전>휴대폰액세서리>휴대폰케이스>아이폰 케이스|19900|8900|996
grp-a001-02-000000043610882|7276789393|7276789393|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|17900|15900|971
grp-a001-02-000000043610882|7278685548||||||
grp-a001-02-000000043610882|7283791736||||||
grp-a001-02-000000043610882|7284455837|7284455837|SUSPENSION|디지털/가전>태블릿PC액세서리>태블릿PC보호필름>액정보호필름|19900|15900|23957
grp-a001-02-000000043610882|7285245369||||||
grp-a001-02-000000043610882|7285387194|7285387194|SUSPENSION|디지털/가전>태블릿PC액세서리>태블릿PC보호필름>액정보호필름|19900|15900|14954
grp-a001-02-000000043610882|8015710525|8015710525|SALE|디지털/가전>휴대폰액세서리>휴대폰케이스>갤럭시 케이스|16900|12900|6
grp-a001-02-000000043610882|8015948598|8015948598|SUSPENSION|디지털/가전>휴대폰액세서리>휴대폰케이스>갤럭시 케이스|16900|12800|981
grp-a001-02-000000043610882|8015999469|8015999469|OUTOFSTOCK|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|12900|8900|0
grp-a001-02-000000043610882|8016034230|8016034230|OUTOFSTOCK|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|12900|8900|0
grp-a001-02-000000043610882|8024066255|8024066255|SUSPENSION|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|17900|15900|35728
grp-a001-02-000000043610882|8024072628|8024072628|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|17900|12900|100
grp-a001-02-000000043610882|8024076513|8024076513|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|17900|12900|2
grp-a001-02-000000043610882|8045757559||||||
grp-a001-02-000000043610882|8045759581||||||
grp-a001-02-000000043610882|8045761435||||||
grp-a001-02-000000043610882|8051098747|8051098747|OUTOFSTOCK|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|47500|31320|0
grp-a001-02-000000043610882|8051119719|8051119719|OUTOFSTOCK|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|47470|29520|0
grp-a001-02-000000043610882|8171818613|8171818613|OUTOFSTOCK|디지털/가전>휴대폰액세서리>웨어러블 디바이스 액세서리|36500|33500|0
grp-a001-02-000000043610882|8171867174|8171867174|OUTOFSTOCK|디지털/가전>휴대폰액세서리>휴대폰충전기>충전기|98000|80000|0
grp-a001-02-000000043610882|8171923187|8171923187|OUTOFSTOCK|디지털/가전>휴대폰액세서리>휴대폰충전기>충전기|82000|67200|0
grp-a001-02-000000043610882|8171971713|8171971713|SALE|디지털/가전>휴대폰액세서리>휴대폰케이블|15000|12000|9
grp-a001-02-000000043610882|8172021925|8172021925|SALE|디지털/가전>휴대폰액세서리>휴대폰케이블|23300|20300|195
grp-a001-02-000000043610882|8303831137||||||
grp-a001-02-000000043610882|8424897701|8424897701|SALE|디지털/가전>휴대폰액세서리>휴대폰케이스>아이폰 케이스|16900|12900|4
grp-a001-02-000000043610882|8564633006|8564633006|OUTOFSTOCK|스포츠/레저>수영>수영용품>기타수영용품|12900|4800|0
grp-a001-02-000000043610882|8595881112|8595881112|SUSPENSION|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|23900|20900|45780
grp-a001-02-000000043610882|8777091875|8777091875|SALE|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|19900|14800|510
grp-a001-02-000000043610925|10181667869|10181667869|OUTOFSTOCK|디지털/가전>휴대폰액세서리>휴대폰충전기>충전기|31600|11600|0
grp-a001-02-000000043610925|10222533731||||||
grp-a001-02-000000043610925|10302213140|10302213140|UNADMISSION|디지털/가전>휴대폰액세서리>휴대폰보호필름>액정보호필름|18800|17800|260
grp-a001-02-000000043610925|10302238294||||||
grp-a001-02-000000043610925|10302241111||||||
grp-a001-02-000000043610925|10302255174||||||
grp-a001-02-000000043610925|10434352589||||||
grp-a001-02-000000043610925|10434356362||||||
grp-a001-02-000000043610925|10434373628||||||
grp-a001-02-000000043610925|10434377163||||||
grp-a001-02-000000043610925|10438421171||||||
grp-a001-02-000000043610925|10438431662||||||
grp-a001-02-000000043610925|10447167081|10447167081|SALE|디지털/가전>휴대폰액세서리>웨어러블 디바이스 액세서리|10900|8700|996
