adgroup_id,adgroup_name,campaign_name,campaign_type,model,cost,conv_amt,total_ad_profit,residual_v1,residual_v2,baseline_v1_daily,baseline_v2_used_fallback,n_days,n_baseline_days,band_total,band_baseline_only,baseline_unavailable,excess_F2,excess_F1b,excess_F1a,excess_연휴,excess_공휴일,excess_휴가창,excess_주말,excess_F3
grp-a001-01-000000031185770,00. 강화유리필름,○ 02. 파워링크_PC,WEB_SITE,,20670,35910,317.73,10785.01,12696.05,56.466,False,191,111,band2,band1,False,0.0,0.0,0.0,-282.33,-282.33,-3765.18,-6137.44,0.0
grp-a001-02-000000046222157,"10. Z플립,폴드5/6",● 01. 갤럭시_지문방지_TPU,SHOPPING,갤럭시 Z 폴드5,79625,121600,-8555.45,10822.06,13723.14,81.3688,True,133,76,band3,band2,False,0.0,0.0,0.0,0.0,1034.29,-12300.74,-8111.06,0.0
grp-a001-01-000000061883901,13프로_맥,○ [P_Test]소다케이스 파워링크,WEB_SITE,,6190,33800,13564.53,11045.23,11335.9,581.3281,True,19,13,band1,band1,False,0.0,0.0,0.0,7214.61,-1071.33,0.0,-3623.98,0.0
grp-a001-01-000000046478478,01. 갤럭시A16_자가복원 고투명,○ 02. 파워링크_MO,WEB_SITE,갤럭시 A16 LTE,7040,15900,2252.81,11098.09,7708.91,62.7011,False,177,101,band1,band1,False,0.0,0.0,0.0,-313.51,-723.51,-3634.83,-4173.45,0.0
grp-a001-02-000000052193613,03. 아이폰_13,● 12. 케이스/지갑/방수팩/셀카봉/충전기/스트랩,SHOPPING,,92332,113920,-25751.05,11180.63,11933.61,40.5095,False,276,159,band3,band1,False,0.0,0.0,0.0,-662.04,12659.32,-34704.32,-14224.65,0.0
grp-a001-01-000000047162713,01. 갤럭시S24_6H 사생활보호 ,○ 02. 파워링크_MO,WEB_SITE,갤럭시 S24 (+/울트라),48063,96930,8588.08,11242.42,20520.51,58.8608,False,191,111,band2,band1,False,0.0,0.0,0.0,-724.3,-1474.3,4614.6,-5070.33,0.0
grp-a001-01-000000046477597,01. 갤럭시A16_지문방지,○ 02. 파워링크_PC,WEB_SITE,갤럭시 A16 LTE,29350,95400,26406.87,11671.19,17477.48,61.4273,False,190,111,band1,band1,False,0.0,0.0,0.0,-307.14,-307.14,3818.56,11531.39,0.0
grp-a001-01-000000060858092,일미리케이스_플립7,○ 기타 파워링크,WEB_SITE,갤럭시 Z 플립7,24631,36400,-3356.89,12454.66,12733.41,296.5396,False,42,28,band3,band1,False,0.0,0.0,0.0,-1606.16,-4506.54,0.0,-9698.86,0.0
grp-a001-01-000000046975542,01. 갤럭시탭_S10 울트라 플러스_6H BLC,○ 02. 파워링크_PC,WEB_SITE,갤럭시탭 S10 울트라·+,2980,16900,6897.26,12592.35,10381.68,67.3388,False,187,110,band1,band1,False,0.0,0.0,0.0,-336.69,-269.36,-1616.13,-3472.91,0.0
grp-a001-01-000000046807499,"02.아이패드_프로 6,7세대_종이질감",○ 02. 파워링크_MO,WEB_SITE,"아이패드 프로 6세대(11/12.9인치, M2)|아이패드 프로 7세대(11/13인치, M4)",30370,47700,-2491.57,12920.74,10279.05,68.0039,False,190,111,band3,band1,False,0.0,0.0,0.0,-830.02,-340.02,-1632.09,-12610.18,0.0
grp-a001-02-000000043624035,,● 11. 벌크,SHOPPING,,226800,434290,27022.33,12950.63,12950.63,199.2404,False,65,28,band2,band2,False,0.0,0.0,0.0,0.0,-2379.24,7802.68,8648.26,0.0
