adgroup_id,campaign_type,cost,conv_amt,bep_g,product_count,ad_profit_account,ad_profit_prod,band_account,band_prod,diverges
grp-a001-01-000000046483564,WEB_SITE,84070,302610,,,92791.48,,band1,not_judged_no_bep,False
grp-a001-01-000000046507364,WEB_SITE,98840,124020,,,-26356.07,,band3,not_judged_no_bep,False
grp-a001-01-000000046578743,WEB_SITE,140190,557500,,,185642.85,,band1,not_judged_no_bep,False
grp-a001-01-000000046579761,WEB_SITE,73244,220210,,,55458.51,,band1,not_judged_no_bep,False
grp-a001-01-000000046581751,WEB_SITE,73460,317400,,,112045.55,,band1,not_judged_no_bep,False
grp-a001-01-000000046583926,WEB_SITE,46130,172720,,,54816.81,,band1,not_judged_no_bep,False
grp-a001-01-000000046584475,WEB_SITE,27820,205110,,,92057.26,,band1,not_judged_no_bep,False
grp-a001-01-000000046585858,WEB_SITE,20580,47700,,,7298.43,,band1,not_judged_no_bep,False
grp-a001-01-000000046588417,WEB_SITE,26630,209700,,,95929.91,,band1,not_judged_no_bep,False
grp-a001-01-000000046645092,WEB_SITE,231790,698930,,,176702.11,,band1,not_judged_no_bep,False
grp-a001-01-000000046646662,WEB_SITE,82739,283710,,,83076.31,,band1,not_judged_no_bep,False
grp-a001-01-000000046646763,WEB_SITE,102720,156000,,,-11545.25,,band3,not_judged_no_bep,False
grp-a001-01-000000046742693,WEB_SITE,126560,324510,,,63101.02,,band1,not_judged_no_bep,False
grp-a001-01-000000046807499,WEB_SITE,30370,47700,,,-2491.57,,band3,not_judged_no_bep,False
grp-a001-01-000000046834534,WEB_SITE,8640,46900,,,18770.87,,band1,not_judged_no_bep,False
grp-a001-01-000000046835241,WEB_SITE,17941,31800,,,644.62,,band2,not_judged_no_bep,False
grp-a001-01-000000046835750,WEB_SITE,83860,221800,,,45771.79,,band1,not_judged_no_bep,False
grp-a001-01-000000046837921,WEB_SITE,20640,31800,,,-2054.38,,band3,not_judged_no_bep,False
grp-a001-01-000000046838157,WEB_SITE,11780,0,,,-11780.0,,band4_unjudgeable,not_judged_no_bep,False
grp-a001-01-000000046838297,WEB_SITE,7870,0,,,-7870.0,,band4_unjudgeable,not_judged_no_bep,False
grp-a001-01-000000046838896,WEB_SITE,540,0,,,-540.0,,band4_unjudgeable,not_judged_no_bep,False
grp-a001-01-000000046839132,WEB_SITE,14370,79500,,,32094.06,,band1,not_judged_no_bep,False
grp-a001-01-000000046839232,WEB_SITE,12630,47700,,,15248.43,,band1,not_judged_no_bep,False
grp-a001-01-000000046904555,WEB_SITE,27560,101510,,,31767.88,,band1,not_judged_no_bep,False
grp-a001-01-000000046904979,WEB_SITE,39190,131510,,,37671.48,,band1,not_judged_no_bep,False
grp-a001-01-000000046939750,WEB_SITE,24310,92900,,,29985.73,,band1,not_judged_no_bep,False
grp-a001-01-000000046939809,WEB_SITE,11880,83500,,,36921.87,,band1,not_judged_no_bep,False
grp-a001-01-000000046954263,WEB_SITE,179730,508700,,,117581.51,,band1,not_judged_no_bep,False
grp-a001-01-000000046954978,WEB_SITE,117560,157410,,,-25561.17,,band3,not_judged_no_bep,False
