adgroup_id,adgroup_name,campaign_name,campaign_type,parsed_model,matched_json_model,launch_kr,preorder_kr,announce_kr,source_tier,match_confidence,model_known,cost_365d,golf_flag
grp-a001-02-000000044601555,14프로,● [P_삭제금지]03. 아이폰_강화유리,SHOPPING,iphone:UNKNOWN_14,,,,,,unresolved,True,1580027,False
grp-a001-02-000000044603941,12프로,● [P_삭제금지]03. 아이폰_강화유리,SHOPPING,iphone:UNKNOWN_12,,,,,,unresolved,True,691058,False
grp-a001-02-000000044603942,13프로,● [P_삭제금지]03. 아이폰_강화유리,SHOPPING,iphone:UNKNOWN_13,,,,,,unresolved,True,940874,False
grp-a001-02-000000044743917,05. 아이폰14 시리즈,● [P_삭제금지]04. 아이폰_지문방지,SHOPPING,iphone:UNKNOWN_14,,,,,,unresolved,True,154853,False
grp-a001-02-000000044743918,07. 아이폰12 시리즈,● [P_삭제금지]04. 아이폰_지문방지,SHOPPING,iphone:UNKNOWN_12,,,,,,unresolved,True,374408,False
grp-a001-02-000000044743919,06. 아이폰13 시리즈,● [P_삭제금지]04. 아이폰_지문방지,SHOPPING,iphone:UNKNOWN_13,,,,,,unresolved,True,111189,False
grp-a001-02-000000044744110,09. 아이폰X 시리즈,● [P_삭제금지]04. 아이폰_지문방지,SHOPPING,iphone:UNKNOWN_X,,,,,,unresolved,True,615329,False
grp-a001-02-000000044744111,08. 아이폰11 시리즈,● [P_삭제금지]04. 아이폰_지문방지,SHOPPING,iphone:UNKNOWN_11,,,,,,unresolved,True,570392,False
grp-a001-02-000000044744526,10. 아이폰 SE2/SE3,● [P_삭제금지]04. 아이폰_지문방지,SHOPPING,iphone:UNKNOWN_SE2,,,,,,unresolved,True,368344,False
grp-a001-02-000000044952305,01. 갤럭시탭_종이질감_BULK,● 06. 갤럭시탭_종이질감_M,SHOPPING,galaxy_tab:generic_gen_unknown,,,,,,unresolved,True,18409,False
grp-a001-02-000000045023176,S20울트라,● 01. 갤럭시_지문방지_TPU,SHOPPING,galaxy_s:S9-S21,,,,,,unresolved,True,633911,False
grp-a001-02-000000045023177,S21울트라,● 01. 갤럭시_지문방지_TPU,SHOPPING,galaxy_s:S9-S21,,,,,,unresolved,True,1379769,False
grp-a001-02-000000045023993,S105G,● 01. 갤럭시_지문방지_TPU,SHOPPING,galaxy_s:S9-S21,,,,,,unresolved,True,645758,False
grp-a001-02-000000045025481,노트9,● 01. 갤럭시_지문방지_TPU,SHOPPING,note:노트9,,,,,,unresolved,True,971206,False
grp-a001-02-000000045025482,노트10,● 01. 갤럭시_지문방지_TPU,SHOPPING,note:노트10,,,,,,unresolved,True,185190,False
grp-a001-02-000000045025483,노트20,● 01. 갤럭시_지문방지_TPU,SHOPPING,note:노트20,,,,,,unresolved,True,2674908,False
grp-a001-02-000000045087060,01. 갤럭시탭S6_종이질감,● 06. 갤럭시탭_종이질감_M,SHOPPING,galaxy_tab:구형,,,,,,unresolved,True,196800,False
grp-a001-02-000000045087074,01. 갤럭시탭S5E_종이질감,● 06. 갤럭시탭_종이질감_M,SHOPPING,galaxy_tab:구형,,,,,,unresolved,True,0,False
grp-a001-02-000000045448738,09. Z플립1/2,● 01. 갤럭시_지문방지_TPU,SHOPPING,galaxy_z_flip:1-2,,,,,,unresolved,True,156817,False
grp-a001-02-000000045448744,10. Z폴드2/3,● 01. 갤럭시_지문방지_TPU,SHOPPING,galaxy_z_fold:1-2,,,,,,unresolved,True,235399,False
