adgroup_id,campaign_id,campaign_type,cost,conv_amt,conv_cnt,clk,n_days,band,roas,aov_used,aov_layer
grp-a001-02-000000046072248,cmp-a001-02-000000008723288,SHOPPING,434227,987950,45,344,357,band1,2.275192468455439,21954.444444444445,adgroup
grp-a001-02-000000046072553,cmp-a001-02-000000008723288,SHOPPING,560516,1105460,49,390,357,band2,1.972218455851394,22560.408163265307,adgroup
grp-a001-02-000000046072554,cmp-a001-02-000000008723288,SHOPPING,704835,1800600,89,484,350,band1,2.5546404477643705,20231.460674157304,adgroup
grp-a001-02-000000046074558,cmp-a001-02-000000008723288,SHOPPING,452833,927200,44,289,277,band2,2.0475539547691977,21072.727272727272,adgroup
grp-a001-02-000000046074559,cmp-a001-02-000000008723288,SHOPPING,86438,237800,11,88,301,band1,2.751104838149888,21618.18181818182,adgroup
grp-a001-02-000000046125958,cmp-a001-02-000000008740796,SHOPPING,101758,31800,2,63,343,band3,0.31250614202323157,15900.0,adgroup
grp-a001-02-000000046125983,cmp-a001-02-000000008740796,SHOPPING,164663,110500,7,100,355,band3,0.6710675743791866,15785.714285714286,adgroup
grp-a001-02-000000046126151,cmp-a001-02-000000008740796,SHOPPING,34775,26900,2,29,317,band3,0.7735442127965493,13450.0,adgroup
grp-a001-02-000000046126174,cmp-a001-02-000000008740796,SHOPPING,71074,159000,9,61,356,band1,2.237104989166221,17666.666666666668,adgroup
grp-a001-02-000000046126176,cmp-a001-02-000000008740796,SHOPPING,159345,77910,5,96,340,band3,0.4889390944177728,15582.0,adgroup
grp-a001-02-000000046126177,cmp-a001-02-000000008740796,SHOPPING,232340,174900,10,137,210,band3,0.7527761039855384,17490.0,adgroup
grp-a001-02-000000046126252,cmp-a001-02-000000008740796,SHOPPING,43541,31800,2,35,306,band3,0.7303461105624584,15900.0,adgroup
grp-a001-02-000000046126256,cmp-a001-02-000000008740796,SHOPPING,188173,143100,8,115,341,band3,0.7604704181790162,17887.5,adgroup
grp-a001-02-000000046126369,cmp-a001-02-000000008740796,SHOPPING,137613,190800,12,90,356,band3,1.3864969152623663,15900.0,adgroup
grp-a001-02-000000046126373,cmp-a001-02-000000008740796,SHOPPING,254817,559500,34,166,357,band1,2.1956933799550264,16455.882352941175,adgroup
grp-a001-02-000000046161213,cmp-a001-02-000000008551921,SHOPPING,254056,495310,31,200,357,band2,1.9496095349056901,15977.741935483871,adgroup
grp-a001-02-000000046161215,cmp-a001-02-000000008551921,SHOPPING,16135,79500,4,25,352,band1,4.927176944530523,19875.0,adgroup
grp-a001-02-000000046222149,cmp-a001-02-000000008425541,SHOPPING,24155,19200,3,42,83,band3,0.7948664872697164,6400.0,adgroup
grp-a001-02-000000046222157,cmp-a001-02-000000008425541,SHOPPING,79625,121600,19,128,133,band3,1.5271585557299843,6400.0,adgroup
grp-a001-02-000000046223421,cmp-a001-02-000000008757089,SHOPPING,1243743,2919050,179,777,369,band1,2.346988083551023,16307.541899441341,adgroup
grp-a001-02-000000046224017,cmp-a001-02-000000008757089,SHOPPING,1073270,1793420,105,675,368,band3,1.670986797357608,17080.190476190477,adgroup
grp-a001-02-000000046224018,cmp-a001-02-000000008757089,SHOPPING,1694265,4540440,266,1128,367,band1,2.6798877389310407,17069.323308270676,adgroup
grp-a001-02-000000046224076,cmp-a001-02-000000008757089,SHOPPING,987732,1956750,116,606,370,band2,1.981053565137102,16868.53448275862,adgroup
grp-a001-02-000000046224077,cmp-a001-02-000000008757089,SHOPPING,1473692,3043810,165,901,370,band1,2.065431582718777,18447.333333333332,adgroup
grp-a001-02-000000046415318,cmp-a001-02-000000008790659,SHOPPING,241633,521040,33,358,342,band1,2.1563279850020485,15789.09090909091,adgroup
grp-a001-02-000000046415341,cmp-a001-02-000000008790659,SHOPPING,152112,450160,29,222,340,band1,2.9593983380666877,15522.758620689656,adgroup
grp-a001-02-000000046437508,cmp-a001-02-000000008452546,SHOPPING,1519712,4285570,260,989,357,band1,2.8199882609336506,16482.96153846154,adgroup
grp-a001-02-000000046838302,cmp-a001-02-000000008757089,SHOPPING,1463309,4368490,256,924,368,band1,2.9853503258710226,17064.4140625,adgroup
grp-a001-02-000000046838304,cmp-a001-02-000000008757089,SHOPPING,637741,1808810,95,390,359,band1,2.8362767957525077,19040.105263157893,adgroup
grp-a001-02-000000046838305,cmp-a001-02-000000008757089,SHOPPING,324057,648130,41,217,367,band2,2.0000493740298775,15808.048780487805,adgroup
grp-a001-02-000000046842468,cmp-a001-02-000000008869872,SHOPPING,0,0,0,0,5,excluded_cost0,,15868.412698412698,campaign
grp-a001-02-000000046842692,cmp-a001-02-000000008869872,SHOPPING,0,0,0,0,3,excluded_cost0,,15868.412698412698,campaign
grp-a001-02-000000046842695,cmp-a001-02-000000008869872,SHOPPING,0,0,0,0,3,excluded_cost0,,15868.412698412698,campaign
grp-a001-02-000000046842713,cmp-a001-02-000000008869872,SHOPPING,0,0,0,0,4,excluded_cost0,,15868.412698412698,campaign
grp-a001-02-000000046842714,cmp-a001-02-000000008869872,SHOPPING,4030,0,0,3,6,band4_unjudgeable,,15868.412698412698,campaign
grp-a001-02-000000046842715,cmp-a001-02-000000008869872,SHOPPING,0,0,0,0,4,excluded_cost0,,15868.412698412698,campaign
grp-a001-02-000000046842716,cmp-a001-02-000000008869872,SHOPPING,1450,0,0,1,5,band4_unjudgeable,,15868.412698412698,campaign
grp-a001-02-000000046842729,cmp-a001-02-000000008869872,SHOPPING,2730,0,0,2,7,band4_unjudgeable,,15868.412698412698,campaign
grp-a001-02-000000046842731,cmp-a001-02-000000008869872,SHOPPING,3970,0,0,4,7,band4_unjudgeable,,15868.412698412698,campaign
