adgroup_id,adgroup_name,campaign_type,band_total,band_baseline_only,direction,dominant_label,dominant_excess,cost_total,conv_amt_total
grp-a001-02-000000061693695,16프로_맥,SHOPPING,band3,band4_unjudgeable,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),주말,-8575.0,33960,0
grp-a001-01-000000060825654,A9_종이질감,WEB_SITE,band3,band1,band_total이_더_열등(요인이_없으면_더_좋음),주말,-8380.42,20183,31800
grp-a001-01-000000061924114,17에어_일,WEB_SITE,band4_unjudgeable,excluded_cost0,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),F3,-8200.0,11320,0
grp-a001-01-000000058445222,14. 트라이폴드,WEB_SITE,band3,band4_unjudgeable,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),주말,-8000.77,52700,0
grp-a001-01-000000042969832,55. 갤럭시워치 스트랩,WEB_SITE,band3,band4_unjudgeable,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),주말,7780.0,34664,0
grp-a001-02-000000061794162,15_일,SHOPPING,band3,band2,band_total이_더_열등(요인이_없으면_더_좋음),주말,-7723.18,30611,40800
grp-a001-02-000000061793328,S23플러스_일,SHOPPING,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),공휴일,-7392.94,50660,93300
grp-a001-01-000000060823926,도어락_사생활보호,WEB_SITE,band1,band4_unjudgeable,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),주말,7219.95,2850,14200
grp-a001-02-000000059829132,S23플러스,SHOPPING,band2,band3,band_total이_더_우수(요인이_없으면_더_나쁨),주말,6956.78,18482,31800
grp-a001-01-000000060612840,S9플러스_지문방지_TPU,WEB_SITE,band3,band2,band_total이_더_열등(요인이_없으면_더_좋음),주말,-6740.56,15738,15900
grp-a001-01-000000060610050,A33_지문방지_TPU,WEB_SITE,band2,band4_unjudgeable,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),주말,6666.55,9116,15900
grp-a001-01-000000060858091,카메라필름_아이폰,WEB_SITE,band3,band1,band_total이_더_열등(요인이_없으면_더_좋음),주말,-6643.4,31179,49700
grp-a001-02-000000061693679,17프로_맥,SHOPPING,band3,band4_unjudgeable,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),연휴,-6567.58,26615,33800
grp-a001-01-000000060548667,폴드3_지문방지,WEB_SITE,band3,band1,band_total이_더_열등(요인이_없으면_더_좋음),휴가창,-6424.37,54391,89000
grp-a001-02-000000046222149,Z폴드/플립3_힌지,SHOPPING,band3,band4_unjudgeable,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),휴가창,-6411.42,24155,19200
grp-a001-01-000000050221991,00. 갤럭시s25엣지,WEB_SITE,band2,band3,band_total이_더_우수(요인이_없으면_더_나쁨),휴가창,6238.35,27810,47700
grp-a001-01-000000031185770,00. 강화유리필름,WEB_SITE,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),주말,-6137.44,20670,35910
grp-a001-02-000000061693737,14_맥,SHOPPING,band3,band2,band_total이_더_열등(요인이_없으면_더_좋음),주말,-6092.6,26050,33800
grp-a001-02-000000061693698,16프로맥스_맥,SHOPPING,band3,band4_unjudgeable,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),주말,-6060.67,40457,0
grp-a001-01-000000061883745,S26플러스_맥(품절),WEB_SITE,band4_unjudgeable,excluded_cost0,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),F1b,-5870.0,6210,0
grp-a001-01-000000058445534,14. 트라이폴드,WEB_SITE,band3,band2,band_total이_더_열등(요인이_없으면_더_좋음),주말,-5720.43,19460,30510
grp-a001-01-000000060825794,S8플러스_종이질감,WEB_SITE,band2,band3,band_total이_더_우수(요인이_없으면_더_나쁨),휴가창,5654.19,34635,63600
grp-a001-01-000000038769329,02. 아이폰12,WEB_SITE,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),주말,-5501.06,20740,37800
grp-a001-01-000000060609365,노트8_지문방지_TPU,WEB_SITE,band3,band2,band_total이_더_열등(요인이_없으면_더_좋음),주말,-5488.06,24818,31800
grp-a001-01-000000060613256,A15_지문방지_TPU,WEB_SITE,band1,band2,band_total이_더_우수(요인이_없으면_더_나쁨),주말,5187.93,13746,31800
grp-a001-02-000000059828464,S24FE,SHOPPING,band2,band3,band_total이_더_우수(요인이_없으면_더_나쁨),주말,5165.04,17577,31800
grp-a001-01-000000047162713,01. 갤럭시S24_6H 사생활보호 ,WEB_SITE,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),주말,-5070.33,48063,96930
grp-a001-02-000000061794157,14프로맥스_일,SHOPPING,band3,band4_unjudgeable,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),주말,4974.25,42610,12900
grp-a001-01-000000045694026,01. 갤럭시 Z폴드SE_지문방지필름,WEB_SITE,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),휴가창,-4645.07,10980,19800
grp-a001-02-000000055386434,12. 스트랩,SHOPPING,band3,band4_unjudgeable,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),주말,4445.85,30109,9700
grp-a001-01-000000047075282,01. 갤럭시A55(퀀텀5) 35 25 15_지문방지,WEB_SITE,band1,band3,band_total이_더_우수(요인이_없으면_더_나쁨),주말,4269.94,29280,61600
grp-a001-01-000000061924113,17_일,WEB_SITE,band4_unjudgeable,excluded_cost0,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),F3,-4240.0,4690,0
grp-a001-01-000000060841577,미니6-7세대(8.3인치)_6H BLC,WEB_SITE,band3,band4_unjudgeable,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),주말,4068.98,45002,31800
grp-a001-01-000000061924115,17프로_일,WEB_SITE,band4_unjudgeable,excluded_cost0,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),F3,-3760.0,4650,0
grp-a001-01-000000046974236,02.아이패드_에어 6세대_6H BLC,WEB_SITE,band3,band2,band_total이_더_열등(요인이_없으면_더_좋음),주말,-3722.74,12080,16900
grp-a001-01-000000060842733,에어6-7세대(11인치)_종이질감,WEB_SITE,band3,band2,band_total이_더_열등(요인이_없으면_더_좋음),주말,-3621.8,11858,15900
grp-a001-01-000000060843310,S9FE_6H BLC,WEB_SITE,band3,band2,band_total이_더_열등(요인이_없으면_더_좋음),주말,-3600.33,13051,16900
grp-a001-01-000000044377702,37 LG_지문방지필름,WEB_SITE,band3,band1,band_total이_더_열등(요인이_없으면_더_좋음),주말,-3516.84,10820,15900
grp-a001-02-000000061794176,16프로_일,SHOPPING,band3,band4_unjudgeable,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),주말,3512.12,30038,12900
grp-a001-01-000000060604037,아이폰15플러스_강화유리,WEB_SITE,band3,band2,band_total이_더_열등(요인이_없으면_더_좋음),휴가창,-3489.49,17190,18900
grp-a001-01-000000060604013,아이폰12프로맥스_강화유리,WEB_SITE,band3,band1,band_total이_더_열등(요인이_없으면_더_좋음),휴가창,-2980.54,13382,15900
grp-a001-01-000000060843313,S8울트라_6H BLC,WEB_SITE,band3,band4_unjudgeable,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),휴가창,2725.31,33337,0
grp-a001-02-000000061794152,14_일,SHOPPING,band3,band2,band_total이_더_열등(요인이_없으면_더_좋음),주말,-2718.69,20750,29800
grp-a001-01-000000060841575,에어6-7세대(11인치)_6H BLC,WEB_SITE,band3,band4_unjudgeable,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),주말,-2551.92,33303,0
grp-a001-02-000000061693735,14플러스_맥,SHOPPING,band3,band2,band_total이_더_열등(요인이_없으면_더_좋음),연휴,-2545.53,19960,33800
grp-a001-02-000000061693722,15_맥,SHOPPING,band3,band4_unjudgeable,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),공휴일,-1982.91,43855,16900
grp-a001-02-000000059829228,S22플러스,SHOPPING,band2,band1,band_total이_더_열등(요인이_없으면_더_좋음),주말,-1716.15,8690,15900
grp-a001-02-000000054131225,10. A16-1756452751536,SHOPPING,band4_unjudgeable,excluded_cost0,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),주말,-1360.0,1360,0
grp-a001-01-000000061883886,17_맥,WEB_SITE,band4_unjudgeable,excluded_cost0,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),F3,-1340.0,2240,0
grp-a001-02-000000044952212,01. 갤럭시탭S9_종이질감,SHOPPING,band4_unjudgeable,excluded_cost0,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),휴가창,-1180.0,1607,0
grp-a001-01-000000061924153,S23울트라_일,WEB_SITE,band3,band4_unjudgeable,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),연휴,960.0,15010,0
grp-a001-01-000000047487792,01. 갤럭시S25_자가복원 고투명,WEB_SITE,band4_unjudgeable,excluded_cost0,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),휴가창,-790.0,790,0
grp-a001-01-000000060823925,맥세이프그립톡,WEB_SITE,band4_unjudgeable,excluded_cost0,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),주말,-160.0,160,0
grp-a001-01-000000046976107,02.아이패드_에어 6세대_6H BLC,WEB_SITE,band4_unjudgeable,excluded_cost0,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),주말,-160.0,160,0
grp-a001-01-000000061924195,노트20울트라_일(품절),WEB_SITE,band4_unjudgeable,excluded_cost0,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),F2,0.0,0,0
grp-a001-01-000000061924194,노트20_일(품절),WEB_SITE,band4_unjudgeable,excluded_cost0,판정가능성_변화(band4_unjudgeable/excluded_cost0 관련 — 우열 비교 대상 아님),F2,0.0,0,0
