factor_label,base,altA_휴가창_먼저,altB_주말_먼저,pct_change_altA_vs_base,pct_change_altB_vs_base
F2,45097.08743781679,200859.00772701332,816920.5114732205,345.39241698030423,1711.4706689199193
F1b,1543259.382573389,-36182.073140185355,1526847.016371502,-102.34452312739882,-1.0634872133107816
F1a,-50956.78049595057,-50956.78049595057,-50956.78049595057,0.0,0.0
연휴,-1207277.5747712548,-1207277.5747712548,-681755.4145635981,0.0,43.52952222335683
공휴일,-1079525.3692848415,-885007.2541127333,-964343.4504192082,18.018855388361235,10.669681523273367
휴가창,284529.61081322643,1513691.0310654962,1123411.6021443226,431.99771606868967,294.8311737866056
주말,-7762658.532921446,-7762658.532921446,-9997655.661159348,0.0,-28.791645526584432
F3,848347.9171454054,848347.9171454054,848347.9171454054,0.0,0.0
