window,group,n_days,n_grpdays,total_profit,total_cost,total_conv,avg_per_grpday,baseline,pct_change
full_0720_0816,TARGET(21),28,266,-1013060.2887200471,5940214,8430360,-3808.4973260152146,-8271.272727272728,53.95512333358903
full_0720_0816,TPU3(3),28,82,-903051.8503798951,3506956,4455280,-11012.827443657257,,
full_0720_0816,REST(나머지),28,10632,268394.4617182921,14392716,25085160,25.244023863646735,283.7355165014354,-91.10297358084918
F1b_0728_0806,TARGET(21),10,97,-364294.99181765073,2964821,4449500,-3755.6184723469146,-8271.272727272728,54.59443067372719
F1b_0728_0806,TPU3(3),10,30,-338111.2764465227,1916054,2699860,-11270.375881550755,,
F1b_0728_0806,REST(나머지),10,3769,43354.528930449655,5017791,8659620,11.502926221928801,283.7355165014354,-95.94589836205061
D0_D9_0807_0816,TARGET(21),10,120,-183919.48100526017,2348712,3703960,-1532.6623417105013,-8271.272727272728,81.47005434052635
D0_D9_0807_0816,TPU3(3),10,30,-185369.93921683234,1080706,1531920,-6178.997973894411,,
D0_D9_0807_0816,REST(나머지),10,3627,339851.1554646401,4720143,8657650,93.70034614409708,283.7355165014354,-66.97616593810419
