adgroup_id,bep_g,product_count
grp-a001-02-000000059820884,1.5021,1
grp-a001-02-000000059820913,1.5042,1
grp-a001-02-000000059820923,1.8583,3
grp-a001-02-000000059820925,1.8583,3
grp-a001-02-000000059820931,1.5115,1
grp-a001-02-000000059820953,1.502,1
grp-a001-02-000000059820960,1.475,1
grp-a001-02-000000059820987,1.4687,1
grp-a001-02-000000059820998,1.4369,1
grp-a001-02-000000059821015,1.5817,1
grp-a001-02-000000059821023,1.5693,1
grp-a001-02-000000059821034,1.4989,1
grp-a001-02-000000059821054,1.5618,1
grp-a001-02-000000059821088,1.5536,1
grp-a001-02-000000059821217,1.5708,1
grp-a001-02-000000059821232,1.3867,1
grp-a001-02-000000059821852,1.8333,1
grp-a001-02-000000059821874,1.6894,1
grp-a001-02-000000059821962,1.9694,1
grp-a001-02-000000059822073,1.8561,3
grp-a001-02-000000059822154,1.8561,3
grp-a001-02-000000059822246,1.403,8
grp-a001-02-000000059822251,1.4144,6
grp-a001-02-000000059822273,1.4144,6
grp-a001-02-000000059822914,1.5175,1
grp-a001-02-000000059823013,1.403,8
grp-a001-02-000000059824059,1.8646,1
grp-a001-02-000000059826423,1.9397,1
grp-a001-02-000000059826577,1.5035,1
grp-a001-02-000000059826628,1.435,1
grp-a001-02-000000059827137,1.4268,1
grp-a001-02-000000059827296,1.5035,1
grp-a001-02-000000059827297,1.5035,1
grp-a001-02-000000059827298,1.5035,1
grp-a001-02-000000059828242,1.441,1
grp-a001-02-000000059828246,1.3977,1
grp-a001-02-000000059828464,1.5035,1
grp-a001-02-000000059828469,1.4264,1
grp-a001-02-000000059828556,1.5035,1
grp-a001-02-000000059829132,1.5035,1
grp-a001-02-000000059829228,1.5035,1
grp-a001-02-000000059829872,1.403,1
grp-a001-02-000000059829962,1.4813,1
grp-a001-02-000000059830517,1.5806,1
grp-a001-02-000000059830521,1.5929,1
grp-a001-02-000000059830530,1.5348,1
grp-a001-02-000000059830538,1.5742,1
grp-a001-02-000000059830547,1.5001,1
grp-a001-02-000000059830552,1.5961,1
grp-a001-02-000000059830874,1.3306,17
grp-a001-02-000000059830952,1.5291,7
grp-a001-02-000000059832147,1.8252,1
grp-a001-02-000000059832150,1.6526,1
grp-a001-02-000000059832206,1.5366,1
grp-a001-02-000000059832280,1.6375,1
grp-a001-02-000000059832332,1.5884,1
grp-a001-02-000000059832344,1.4566,1
grp-a001-02-000000059832490,1.6229,1
grp-a001-02-000000059832492,1.6406,1
grp-a001-02-000000059879629,1.5846,1
grp-a001-02-000000059879675,1.639,1
grp-a001-02-000000059879687,1.5813,1
grp-a001-02-000000059880038,1.6377,1
grp-a001-02-000000061878144,1.4009,36
grp-a001-02-000000062947038,1.5024,1
grp-a001-02-000000062947040,1.5006,1
grp-a001-02-000000062947041,1.4722,1
grp-a001-02-000000063096531,1.4722,8
grp-a001-02-000000065140028,1.5852,1
grp-a001-02-000000070109620,1.9887,1
grp-a001-02-000000070451363,1.9802,1
grp-a001-02-000000070523564,1.9735,1
grp-a001-02-000000070523694,1.6132,1
grp-a001-02-000000070833125,1.6793,1
grp-a001-02-000000070833126,1.7219,1
grp-a001-02-000000070833127,1.7312,1
grp-a001-02-000000070991863,1.7219,2
grp-a001-02-000000070992078,1.7312,2
grp-a001-02-000000070992116,1.6793,2
