발주일,발주번호,상품번호,상품명,발송수량,입고수량,미입고수량,매입단가,미입고금액,쉽먼트번호,송장번호,집하,센터도착,하차,증거등급
2026-07-09,136435977,18371042,"오하이 풀커버 강화유리 액정보호필름2개 + EZ툴 제공, 아이폰13프로맥스",1,0,1,10740,10740,48441426,462829002451,2026-07-13 19:05,2026-07-14 11:05,2026-07-14 15:52,집하+도착+하차
2026-07-10,136497707,19454771,"오하이 풀커버 강화유리 액정보호필름2개 + EZ툴 제공, 아이폰12/12프로",1,0,1,10740,10740,48441426,462829002451,2026-07-13 19:05,2026-07-14 11:05,2026-07-14 15:52,집하+도착+하차
2026-07-09,136435977,39017751,"오하이 풀커버 강화유리 액정보호필름 + 이지솔루션 제공, 2개, 아이폰15플러스",1,0,1,10740,10740,48441426,462829002451,2026-07-13 19:05,2026-07-14 11:05,2026-07-14 15:52,집하+도착+하차
2026-07-09,136435977,62178970,오하이 풀커버 강화유리 휴대폰 액정보호필름 2p + EZ 툴 세트 아이폰17프로 1세트,1,0,1,10740,10740,48441426,462829002451,2026-07-13 19:05,2026-07-14 11:05,2026-07-14 15:52,집하+도착+하차
2026-03-13,126502203,37350956,오하이 갤럭시 Z플립 5 저반사 지문방지 풀커버 액정보호필름 내부3매+외부3매 1세트,2,1,1,10700,10700,44540894,461854903414,2026-03-16 18:59,2026-03-17 11:20,2026-03-18 09:48,집하+도착+하차
2025-07-25,109166849,54737734,"오하이 아이패드 갤럭시탭 6H 유리코팅 방탄강화 블루라이트 차단 고투명 PET 액정보호필름 간편부착 2매, 갤럭시탭 S9FE 플러스 12.4인치, 1개",2,1,1,10140,10140,37905752,459890231942;459890234672,2025-07-29 18:36,2025-07-30 07:42,2025-07-30 09:19,집하+도착+하차
2025-08-04,109955885,54737738,"오하이 아이패드 갤럭시탭 6H 유리코팅 방탄강화 블루라이트 차단 고투명 PET 액정보호필름 간편부착 2매, 갤럭시탭 S7 11인치, 1개",2,1,1,10140,10140,38160231,460029117553,2025-08-06 19:08,2025-08-07 08:26,2025-08-07 09:27,집하+도착+하차
2026-07-09,136435977,63427930,오하이 일미리 맥세이프 케이스 1mm PC 하드 케이스 투명 아이폰 16프로맥스,1,0,1,10080,10080,48441426,462829002451,2026-07-13 19:05,2026-07-14 11:05,2026-07-14 15:52,집하+도착+하차
2025-10-10,114995173,41911911,"오하이 지문방지 PET 무광필름 2매, 갤럭시 S24, 1세트",1,0,1,9600,9600,40030218,460555183535;460555187024,2025-10-13 19:44,2025-10-15 12:32,2025-10-15 15:15,집하+도착+하차
2025-10-15,115340779,36758768,"오하이 지문방지 PET 무광필름 2매, 아이폰13프로맥스, 1세트",2,1,1,9600,9600,40285172,460620859230;460620859473,2025-10-21 18:55,2025-10-22 10:20,2025-10-22 13:25,집하+도착+하차
2026-01-02,121364130,31729103,"오하이 지문방지 PET 무광필름 2매, 갤럭시S23, 1세트",1,0,1,9600,9600,42626227,461279374872;461279374883,2026-01-06 18:55,2026-01-07 13:56,,집하+도착
