발주일,발주번호,물류센터,상품번호,상품명,발송수량,쿠팡정산수량,미정산수량,매입단가,미정산금액,쿠팡정산금액,계산서번호,지급일,정산상태,쉽먼트번호,송장번호,집하,센터도착,하차,증거등급,쿠팡정산수량_재판정,미정산금액_재판정,연령기준일,연령기준일출처,경과일수,연령버킷
2026-03-10,126251674,서울,50342949,"오하이 풀커버 강화유리 액정보호필름2개 + EZ툴 제공, 아이폰16프로",9,0,9,10740,96660,0,,,정산명세에 없음(전량 미정산),44540706,461854887314,2026-03-16 18:58,2026-03-17 11:53,2026-03-17 10:35,집하+도착+하차,0,96660,2026-03-17,①하차일(제3자),142,91~180일
2025-08-26,111770670,창원4,41555886,"오하이 EZ툴 풀커버 사생활보호 프라이버시 강화유리 휴대폰 액정보호필름 2매, 아이폰 15 프로맥스, 1세트",8,0,8,11940,95520,0,,,정산명세에 없음(전량 미정산),38913991,460212337793;460212337804;460212337815;460212337826,2025-09-01 19:14,2025-09-03 09:13,2025-09-05 15:13,집하+도착+하차,0,95520,2025-09-05,①하차일(제3자),335,181~365일
2025-11-06,117218465,대구6,63688990,오하이 EZ툴 풀커버 사생활보호 프라이버시 강화유리 휴대폰 액정보호필름 2p 세트 아이폰17프로 1세트,8,0,8,11940,95520,0,,,정산명세에 없음(전량 미정산),40888195,460777816796,2025-11-07 18:38,2025-11-08 09:40,2025-11-08 17:13,집하+도착+하차,0,95520,2025-11-08,①하차일(제3자),271,181~365일
2025-08-27,111877498,서울,39017749,"오하이 풀커버 강화유리 액정보호필름 + 이지솔루션 제공, 2개, 아이폰15프로",8,0,8,10740,85920,0,,,정산명세에 없음(전량 미정산),38948976,460223542100;460223542111;460223542122;460223542133;460223542144,2025-09-02 18:25,2025-09-03 10:51,2025-09-03 10:02,집하+도착+하차,0,85920,2025-09-03,①하차일(제3자),337,181~365일
2026-06-05,133402531,인천4,62178970,오하이 풀커버 강화유리 휴대폰 액정보호필름 2p + EZ 툴 세트 아이폰17프로 1세트,127,119,8,10740,85920,1278060,29939078,2026-08-07,정산됨(일부),47281616,462550053814;462550057686;462550061013,2026-06-08 18:57,2026-06-09 15:55,2026-06-09 14:13,집하+도착+하차,119,85920,2026-06-09,①하차일(제3자),58,31~60일
2025-08-29,112001812,이천2,41555886,"오하이 EZ툴 풀커버 사생활보호 프라이버시 강화유리 휴대폰 액정보호필름 2매, 아이폰 15 프로맥스, 1세트",7,0,7,11940,83580,0,,,정산명세에 없음(전량 미정산),38927859,460218440846;460218440850;460218440861;460218440872,2025-09-01 19:21,2025-09-03 10:15,2025-09-04 02:39,집하+도착+하차,0,83580,2025-09-04,①하차일(제3자),336,181~365일
2025-09-15,113351044,전라광주4,39017751,"오하이 풀커버 강화유리 액정보호필름 + 이지솔루션 제공, 2개, 아이폰15플러스",7,0,7,10740,75180,0,,,계산서 미발행(전량 미정산),39601981,460404885581,,,,추적없음,0,75180,,④판정불가(추적기록 없음),,판정불가
2025-11-06,117219152,동탄1,39017747,"오하이 풀커버 강화유리 액정보호필름 + 이지솔루션 제공, 2개, 아이폰15",7,0,7,10740,75180,0,,,정산명세에 없음(전량 미정산),40883421,460776859804;460776873900,2025-11-07 18:38,2025-11-08 09:48,2025-11-08 10:02,집하+도착+하차,0,75180,2025-11-08,①하차일(제3자),271,181~365일
2026-06-12,134001661,창원1,48562240,"[10매]오하이 버디필름 장타 비거리스티커 드라이버 우드 헤드 보호 슬라이스방지 골프필름, 드라이버용, 1세트, 드라이버용 10매 95*48mm 단일색상",8,0,8,9000,72000,0,,,계산서 미발행(전량 미정산),47478161,462590745691,2026-06-15 19:16,2026-06-16 09:40,2026-06-17 14:37,집하+도착+하차,0,72000,2026-06-17,①하차일(제3자),50,31~60일
2026-01-02,121364130,동탄1,35373954,"오하이 EZ툴 아이폰 풀커버 사생활보호 프라이버시 강화유리필름 2매, 아이폰 13/13프로, 1세트",6,0,6,11940,71640,0,,,정산명세에 없음(전량 미정산),42626227,461279374872;461279374883,2026-01-06 18:55,2026-01-07 13:56,,집하+도착,0,71640,2026-01-07,②센터도착일(제3자),211,181~365일
