adgroup_id,mall_product_id,campaign_id
grp-a001-02-000000043610882,8777091875,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,8595881112,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,8564633006,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,8424897701,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,8303831137,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,8172021925,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,8171971713,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,8171923187,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,8171867174,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,8171818613,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,8051119719,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,8051098747,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,8045761435,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,8045759581,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,8045757559,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,8024076513,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,8024072628,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,8024066255,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,8016034230,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,8015999469,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,8015948598,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,8015710525,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,4726876482,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,7285387194,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,7285245369,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,7284455837,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,7283791736,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,7278685548,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,7276789393,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,7264138096,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,7216775425,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,7154351025,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,7119767278,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,7053845786,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,7029691798,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,6961116851,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,6943920907,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,6891351882,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,6891343928,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,6891081964,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,6821566017,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,6821542253,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,6818291037,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,6818287511,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,6818260625,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,6818140640,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,6818113090,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,6818086076,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,6818043939,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,6748750378,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,6747593727,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,6747478867,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,6325815144,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,6325814520,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,5059485195,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,6290298710,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,6290296347,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,6290191072,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,6286593796,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,6286591735,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,6286582527,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,6172518908,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,6204580688,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,6152124968,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,5950354321,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,5949677527,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,5866302814,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,5866302457,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,5865891908,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,5849693263,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,5837784385,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,5786511512,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,5700922776,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,5700911403,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,5699537342,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,5699536281,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,5699534454,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,5694399201,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,5694385671,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,5694378483,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,5665271187,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,5471733585,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,5129833882,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,5129833043,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,5129555014,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,5049807951,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,4986857858,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,4497997207,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,4422817503,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,3900927238,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,3574715648,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,3529106282,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,3422628940,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,3422606249,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,3380946784,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,3207327235,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,2183968407,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,2151317674,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,380397804,cmp-a001-02-000000008336372
grp-a001-02-000000043610882,380396890,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,8927879889,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,8795922629,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,8795812978,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,10578197070,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,10578185038,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,10567336655,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,10567300876,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,10567229718,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,6418990211,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,10537357957,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,10523645021,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,10523622764,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,10447230320,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,10447167081,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,10438431662,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,10438421171,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,10434377163,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,10434373628,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,10434356362,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,10434352589,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,10302255174,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,10302241111,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,10302238294,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,10302213140,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,10222533731,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,10181667869,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,7119777823,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9911357860,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9911319995,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9911305952,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9911290472,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9834417376,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9834411862,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9834392942,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9834372042,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9826526266,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9826513237,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9825629230,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9824870518,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9824803184,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9824381532,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9824365193,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9823967466,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9823936023,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9817297190,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9817287812,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9817230055,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9817085885,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9816818628,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9816189362,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9816144543,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9816064743,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9810376975,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9810366346,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9810359194,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9810354143,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9810298872,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9810289669,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9810269528,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9809961495,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9809869052,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9809836674,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9809829280,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9809808282,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9809475804,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9809470164,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9809463820,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9809458078,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9809451709,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9809440279,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9809423596,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9809406811,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9795955861,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9795928665,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9795897709,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9795815284,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9795675856,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9795653260,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9795609550,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9795566687,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9775923596,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9775886091,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9645476434,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9645452621,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9645494346,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9645414774,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9608407073,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9608153706,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9590260821,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9506336785,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9475441000,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9243662948,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9238392879,cmp-a001-02-000000008336372
grp-a001-02-000000043610925,9205714557,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11839641958,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11847904214,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11329694686,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11329452203,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11328652229,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11328634429,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,8928008121,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,8927994785,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,8927922615,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11101844624,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11100875595,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11100707703,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,2402007467,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,5786510729,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11066208029,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11066065879,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11047702639,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11047667552,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,9475735135,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11016053609,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,10973246132,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11096867288,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11091807223,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11091797602,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11090418255,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11090423153,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11090360449,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11090349740,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11071167290,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11066413691,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11066240019,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11174750730,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11174744030,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11174737218,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11174732146,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11382748410,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11382744091,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11382700546,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11379135187,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11378881090,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11378853597,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11361293351,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11361253594,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11361238228,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11174786504,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11174781362,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11174776967,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11174770844,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11394916775,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,10679209662,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,10679236577,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,10713176715,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,10713494322,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,10713521383,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,10838990954,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,10838869686,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,10854901732,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,10839030715,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,10855102002,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,10860205979,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,10838953472,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11325839581,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11314698611,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11314685775,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11311607581,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11259990426,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11259972316,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11287690712,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11263370160,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11263363765,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11263343049,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11263310083,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11263296721,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11263273873,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11260069028,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11260046530,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11260018794,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11619407649,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11619407646,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11619407644,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11619407641,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11619407640,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11619531612,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11619407645,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11619407635,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11619407650,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11619407632,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11619407643,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11619407639,cmp-a001-02-000000008336372
grp-a001-02-000000043610930,11619407648,cmp-a001-02-000000008336372
