platform_product_id,rev
10434377163,19900
10438431662,31800
10447230320,9700
10523645021,47400
10567229718,172800
10567300876,196310
10567336655,304600
10578185038,102400
10578197070,64000
10679209662,51500
10679236577,23700
10713176715,35700
10713521383,31800
10838869686,974600
10838953472,47700
10838990954,222600
10839030715,9900
10854901732,378200
10860205979,15000
10973246132,179000
11016053609,55400
11047667552,297100
11047702639,220800
11066065879,1730000
11066240019,47700
11066413691,19800
11090349740,429300
11090360449,79500
11090418255,15900
11090423153,130200
11091797602,22900
11096867288,22000
11100707703,53400
11100875595,80800
11149384244,95400
11174737218,63600
11174744030,63600
11174750730,15900
11174776967,47700
11174781362,190800
11174786504,131100
11174904521,47700
11175030293,35800
11259972316,37800
11259990426,56700
11260018794,113400
11260046530,473200
11260069028,726700
11263273873,84500
11263296721,84500
11263310083,16900
11263343049,33800
11263363765,118300
11263370160,33800
11287690712,1411000
11314698611,152100
11328652229,14800
11329452203,44000
11329694686,90000
11361238228,3199200
11361253594,1212000
11361293351,31800
11378853597,36400
11378881090,66600
11379135187,236600
11382700546,151200
11382748410,19800
11394916775,82800
11495508351,37800
11550083337,25600
11550098952,12800
11619407635,67000
11619407636,12800
11619407639,12800
11619407640,12800
11619407641,12800
11619407642,12800
11619407643,57200
11619407644,12800
11619407646,15800
11619407648,12800
11619407649,23700
11619407650,25600
11619531612,37760
11619806377,3131900
11619806378,442600
11619806379,845600
11619806380,299300
11619806381,330300
11619806382,289400
11619806383,1527150
11619806384,279400
11619806385,327200
11619806387,580800
11619806388,138200
11619806389,75600
11619806390,2452200
11619806392,268500
11619806393,1185600
11619806394,188900
11672253546,1166200
11672253548,143300
11672253549,298500
11672253550,521400
11672253551,505500
11672253552,79600
11672253553,417900
11672253554,123400
11672253555,123400
11672253556,99500
11672253557,517400
11672253558,79600
11672253559,199000
11672253561,497500
11672253562,39800
11672253565,159200
11672432784,94500
11672432785,75600
11672432786,152200
11672432787,152200
11672432788,113400
11696306463,254400
11696306464,190800
11696306465,333900
11696306467,19800
11696306468,159000
11696306469,222600
11696306470,51600
11696306471,127200
11696352849,79500
11696352850,15900
11696352851,51600
11696352852,31800
11696352853,47700
11696352856,31800
11696352857,47700
11696352858,111300
11696808536,16900
11696808537,16900
11696808538,16900
11730763627,127200
11730763630,15900
11730763636,15900
11730763637,15900
11730763638,15900
11730763641,15900
11730763642,47700
11733931989,490100
11733931991,204800
11733931992,356900
11733931993,304200
11733931994,52700
11733931995,154100
11733931996,202800
11733931997,219700
11733931998,219700
11733931999,370950
11733932000,610400
11733932001,424500
11734691063,890400
11734691064,552600
11734691065,349800
11734691066,528600
11734691067,838500
11734691068,636000
11734691070,850500
11734691071,636000
11734691072,604200
11734691073,333900
11734691074,524700
11734691075,683700
11734691076,159000
11734691077,810900
11734691078,1705200
11734691079,1876200
11734926167,654900
11734926168,480000
11734926169,241500
11734926170,206700
11734926171,145100
11734926172,333900
11734926173,238500
11734926174,161100
11734926175,190800
11734926176,79500
11734926177,365700
11734926178,318000
11734926180,556500
11734926181,15900
11734976624,636000
11734976626,377900
11734976627,206700
11734976628,143200
11734976630,143200
11734976631,174900
11734976632,636000
11734976633,129200
11734976634,381600
11734976635,790900
11734976636,15900
11734976637,15900
11745424644,174900
11745424645,323100
11745424647,31800
11745424648,148200
11745424649,211800
11745424650,31800
11745424651,31800
11745424652,15900
11745424653,31800
11745424654,31800
11745424656,143100
11745424657,127200
11745424659,63600
11745424660,95400
11745424661,95400
11745424662,63600
11745424664,15900
11745424666,31800
11745424667,15900
11745471848,16900
11745471853,67600
11745501260,84500
11745501261,152100
11745501262,16900
11745501263,50700
11745559045,15900
11745559046,95400
11745559047,15900
11745559048,15900
11745559049,63600
11745559050,15900
11745559051,47700
11745559053,15900
11745559055,31800
11751783423,79500
11751783424,63600
11751783425,97400
11751783426,31800
11751783427,206700
11751783429,79500
11751783430,124020
11751783431,47700
11751783432,33800
11751783433,63600
11751783434,31800
11751783436,145100
11752403678,1523200
11752403679,1578000
11752403680,751200
11752403681,678700
11752403682,1157700
11752403683,285200
11752403684,1107000
11752403685,514700
11752403686,564300
11752403688,385500
11752403689,642900
11752403690,333900
11752403691,619100
11752403692,143100
11752403693,302100
11752403694,251400
11752403695,143100
11752403696,140100
11752403698,961800
11752403699,95400
11752403700,770100
11752403701,251400
11752403702,503700
11752403703,1175500
11752403704,770100
11752403705,47700
11752403706,515700
11752403707,251400
11752403708,159000
11752403711,1653500
11752403712,1344300
11752403713,386500
11752403714,584300
11752403715,206700
11752403716,375600
11752979266,95400
11752979267,47700
11752979268,50700
11752979269,95400
11752979270,31800
11839641958,1366200
11847904214,524700
11942529302,14900
12048592353,25600
12057833415,1636500
12057833416,316500
12058008100,51200
12058008102,6400
12058008104,115200
12058076540,172800
12058076543,32400
12058076544,10800
12058076545,140000
12058076546,82800
12058076547,27600
12061960690,2641510
12061960691,5482600
12062015326,1292200
12062015327,1714200
12062041149,396200
12080027722,124600
12080043247,109400
12084320268,216000
12084320270,742600
12138462018,193000
12138462019,211700
12143275358,96600
12144319297,53400
12144319299,33600
12153808127,97300
12231798452,16800
12231798461,16800
12324850101,309400
12380184326,16800
12380193457,16800
12380231111,89600
12380231112,25600
12380231113,38400
12382833885,1520600
12382860657,770700
12382870612,1551200
12382873952,333100
12382896211,1022900
12382899742,1582500
12382902030,620900
12382904362,179100
12428101018,159000
12448041273,2540700
12448155360,358000
12448155363,397500
12448204754,753700
12448204756,724500
12449534740,360000
12449534742,253500
12451063267,211800
12451063268,79500
12451063269,545700
12451063270,79500
12547602636,35400
12610748653,139400
12610833531,83400
12617110171,17900
12617110172,17900
12617110189,15900
12617110191,17900
12617110192,15900
12617110196,35800
12617110198,17900
12617110210,15900
12617110214,15900
12628761691,59400
12628761692,19800
12628761694,9900
12628761696,39600
12628761697,19800
12628761699,9900
