source,bucket_pct,n_combo
expkeyword,0,39662
expkeyword,10,2700
expkeyword,20,40155
expkeyword,30,51008
expkeyword,40,81149
expkeyword,50,101218
expkeyword,60,133713
expkeyword,70,127839
expkeyword,80,193151
expkeyword,90,60499
expkeyword,100,118674
shopping,0,15659
shopping,10,395
shopping,20,6946
shopping,30,10893
shopping,40,17986
shopping,50,17927
shopping,60,24874
shopping,70,30352
shopping,80,55611
shopping,90,14048
shopping,100,67340
