band          wd    hour  cost_sum      conv_sum  n_days    cpa       
------------  ----  ----  ------------  --------  --------  ----------
band3         0     0     45899         15        6         3060.0    
band3         0     1     41270         2         6         20635.0   
band3         0     2     19792         3         6         6597.0    
band3         0     3     13128         3         6         4376.0    
band3         0     4     4683          0         6                   
band3         0     5     18910         4         6         4728.0    
band3         0     6     23167         2         6         11584.0   
band3         0     7     41671         8         6         5209.0    
band3         0     8     55781         10        6         5578.0    
band3         0     9     74082         7         6         10583.0   
band3         0     10    63020         15        6         4201.0    
band3         0     11    72486         6         6         12081.0   
band3         0     12    73599         8         6         9200.0    
band3         0     13    90241         9         6         10027.0   
band3         0     14    91105         12        6         7592.0    
band3         0     15    83837         23        6         3645.0    
band3         0     16    131919        7         6         18846.0   
band3         0     17    98556         11        6         8960.0    
band3         0     18    105641        15        6         7043.0    
band3         0     19    118737        11        6         10794.0   
band3         0     20    112645        14        6         8046.0    
band3         0     21    109517        16        6         6845.0    
band3         0     22    109285        18        6         6071.0    
band3         0     23    78868         6         6         13145.0   
band3         1     0     56422         5         5         11284.0   
band3         1     1     44163         5         5         8833.0    
band3         1     2     38682         4         5         9671.0    
band3         1     3     27899         1         5         27899.0   
band3         1     4     12363         0         5                   
band3         1     5     16840         1         5         16840.0   
band3         1     6     47284         7         5         6755.0    
band3         1     7     67100         8         5         8388.0    
band3         1     8     103947        14        5         7425.0    
band3         1     9     59596         7         5         8514.0    
band3         1     10    69187         12        5         5766.0    
band3         1     11    74177         13        5         5706.0    
band3         1     12    85712         10        5         8571.0    
band3         1     13    111480        16        5         6968.0    
band3         1     14    106134        30        5         3538.0    
band3         1     15    87965         17        5         5174.0    
band3         1     16    93924         17        5         5525.0    
band3         1     17    63832         11        5         5803.0    
band3         1     18    68912         12        5         5743.0    
band3         1     19    84630         8         5         10579.0   
band3         1     20    93194         23        5         4052.0    
band3         1     21    80255         7         5         11465.0   
band3         1     22    46125         9         5         5125.0    
band3         1     23    47432         11        5         4312.0    
band3         2     0     34707         4         4         8677.0    
band3         2     1     10768         2         4         5384.0    
band3         2     2     14106         1         4         14106.0   
band3         2     3     10148         2         4         5074.0    
band3         2     4     11170         0         4                   
band3         2     5     11948         2         5         5974.0    
band3         2     6     19707         2         4         9854.0    
band3         2     7     34977         6         4         5830.0    
band3         2     8     51584         5         4         10317.0   
band3         2     9     54640         8         5         6830.0    
band3         2     10    63459         12        5         5288.0    
band3         2     11    145910        12        5         12159.0   
band3         2     12    121196        14        5         8657.0    
band3         2     13    140594        17        5         8270.0    
band3         2     14    173919        19        5         9154.0    
band3         2     15    157925        19        5         8312.0    
band3         2     16    106715        18        5         5929.0    
band3         2     17    75578         7         5         10797.0   
band3         2     18    72919         11        5         6629.0    
band3         2     19    59500         7         5         8500.0    
band3         2     20    87917         12        5         7326.0    
band3         2     21    82898         8         5         10362.0   
band3         2     22    93841         13        5         7219.0    
band3         2     23    64646         3         4         21549.0   
