band          wd    hour  cost_sum      conv_sum  n_days    cpa       
band3         3     0     40246         5         5         8049.0    
band3         3     1     31793         1         5         31793.0   
band3         3     2     16337         6         5         2723.0    
band3         3     3     14503         1         5         14503.0   
band3         3     4     11016         0         5                   
band3         3     5     23988         0         5                   
band3         3     6     21935         9         5         2437.0    
band3         3     7     46656         5         5         9331.0    
band3         3     8     68588         13        5         5276.0    
band3         3     9     56196         5         5         11239.0   
band3         3     10    71957         10        5         7196.0    
band3         3     11    52242         7         5         7463.0    
band3         3     12    53254         6         5         8876.0    
band3         3     13    78211         7         5         11173.0   
band3         3     14    65877         14        5         4706.0    
band3         3     15    57319         12        5         4777.0    
band3         3     16    89588         8         5         11199.0   
band3         3     17    61824         10        5         6182.0    
band3         3     18    72528         14        5         5181.0    
band3         3     19    67862         15        5         4524.0    
band3         3     20    93292         16        5         5831.0    
band3         3     21    83796         8         5         10475.0   
band3         3     22    66790         7         5         9541.0    
band3         3     23    90777         22        5         4126.0    
band3         4     0     50037         7         5         7148.0    
band3         4     1     36941         1         5         36941.0   
band3         4     2     10134         2         5         5067.0    
band3         4     3     10394         1         5         10394.0   
band3         4     4     11026         2         5         5513.0    
band3         4     5     9482          1         5         9482.0    
band3         4     6     23539         3         5         7846.0    
band3         4     7     31451         7         5         4493.0    
band3         4     8     45180         4         5         11295.0   
band3         4     9     67599         14        5         4829.0    
band3         4     10    67721         8         5         8465.0    
band3         4     11    58124         11        5         5284.0    
band3         4     12    60428         2         5         30214.0   
band3         4     13    69102         6         5         11517.0   
band3         4     14    85668         10        5         8567.0    
band3         4     15    62589         9         5         6954.0    
band3         4     16    89401         16        5         5588.0    
band3         4     17    86008         10        5         8601.0    
band3         4     18    71915         7         5         10274.0   
band3         4     19    97727         13        5         7517.0    
band3         4     20    92862         11        5         8442.0    
band3         4     21    82314         19        5         4332.0    
band3         4     22    107464        17        5         6321.0    
band3         4     23    74242         15        5         4949.0    
band3         5     0     63107         8         6         7888.0    
band3         5     1     37244         6         6         6207.0    
band3         5     2     22534         7         6         3219.0    
band3         5     3     12128         2         6         6064.0    
band3         5     4     8824          3         6         2941.0    
band3         5     5     11539         2         6         5770.0    
band3         5     6     28678         2         6         14339.0   
band3         5     7     38793         10        6         3879.0    
band3         5     8     43788         5         6         8758.0    
band3         5     9     51078         9         6         5675.0    
band3         5     10    53486         10        6         5349.0    
band3         5     11    80009         9         6         8890.0    
band3         5     12    75049         17        6         4415.0    
band3         5     13    95330         20        6         4767.0    
band3         5     14    89528         19        6         4712.0    
band3         5     15    95161         17        6         5598.0    
band3         5     16    82216         7         6         11745.0   
band3         5     17    71595         12        6         5966.0    
band3         5     18    76951         10        6         7695.0    
band3         5     19    91923         15        6         6128.0    
band3         5     20    65311         4         6         16328.0   
band3         5     21    68746         12        6         5729.0    
band3         5     22    72919         14        6         5209.0    
band3         5     23    67372         10        6         6737.0    
band3         6     0     60015         11        6         5456.0    
band3         6     1     22189         2         6         11095.0   
band3         6     2     11561         0         6                   
band3         6     3     13058         0         6                   
band3         6     4     10653         1         6         10653.0   
band3         6     5     8966          1         6         8966.0    
band3         6     6     15028         1         6         15028.0   
band3         6     7     29451         3         6         9817.0    
band3         6     8     56554         5         6         11311.0   
band3         6     9     58283         5         6         11657.0   
band3         6     10    48522         10        6         4852.0    
band3         6     11    70173         9         6         7797.0    
band3         6     12    80242         18        6         4458.0    
band3         6     13    82946         13        6         6380.0    
band3         6     14    78657         13        6         6051.0    
band3         6     15    97728         8         6         12216.0   
band3         6     16    87307         13        6         6716.0    
band3         6     17    71828         14        6         5131.0    
band3         6     18    85143         12        6         7095.0    
band3         6     19    58345         16        6         3647.0    
band3         6     20    84538         10        6         8454.0    
band3         6     21    89040         19        6         4686.0    
band3         6     22    97409         14        6         6958.0    
band3         6     23    68413         12        6         5701.0    
