layer,window,imp_layer,imp_L1,clk_layer,clk_L1,cost_layer,cost_L1,conv_cnt_layer,conv_cnt_L1,conv_amt_layer,conv_amt_L1,imp_diff,imp_diff_pct,clk_diff,clk_diff_pct,cost_diff,cost_diff_pct,conv_cnt_diff,conv_cnt_diff_pct,conv_amt_diff,conv_amt_diff_pct
L2_vs_L1_WEB_SITE,필수제외 후 전체 창(공통) 355d(2025-07-22~2026-08-09),3890072,8679771,52800,77014,41191705,55247923,4967,6936,90130610,126478510,-4789699,-55.1823,-24214,-31.441,-14056218,-25.4421,-1969,-28.3881,-36347900,-28.7384
L3_vs_L1_SHOPPING,필수제외 후 L3 창으로 제한 37d(2026-07-04~2026-08-09),1007113,2648099,13221,14251,18659144,19312219,1606,1970,26753200,33055850,-1640986,-61.9685,-1030,-7.2276,-653075,-3.3817,-364,-18.4772,-6302650,-19.0667
