layer,variant,bin9,sum_ad_profit,sum_cost,sum_conv_amt,n,roas,ad_profit_per_row
L3_SHOPPING_searchterm,base,"[1,1.5)",-546384.6645236707,3887951,5717420,73169,1.4705483685365377,-7.467433811090362
L3_SHOPPING_searchterm,base,"[1.5,2)",-346283.5663354764,1674162,2272000,9153,1.3570968639832943,-37.83279431175313
L3_SHOPPING_searchterm,base,"[2,2.5)",-366474.4856808886,2992395,4492950,54525,1.501456191445314,-6.721219361410153
L3_SHOPPING_searchterm,base,"[2.5,3)",-269845.2618351842,1363013,1870410,7358,1.3722613063851923,-36.67372408741291
L3_SHOPPING_searchterm,base,"[3,3.5)",-449267.39275277633,2394019,3327470,49712,1.3899096038920327,-9.037403298052308
L3_SHOPPING_searchterm,base,"[3.5,4)",-126782.51724137939,1157817,1764100,5003,1.5236432009549006,-25.341298669074433
L3_SHOPPING_searchterm,base,"[4,5)",-184595.22910578625,1979867,3071710,28485,1.5514729019676574,-6.480436338626865
L3_SHOPPING_searchterm,base,"[5,7)",-349611.42665108136,1905041,2661340,40016,1.396998804750134,-8.736790949897076
L3_SHOPPING_searchterm,base,"[7,inf)",-383897.1180596143,1304879,1575800,94326,1.207621549584291,-4.069897144579589
