adgroup_id,campaign_type,avg_rank,n_days,sum_cost,sum_conv_amt,sum_ad_profit,profit_per_group_day,band,band3
grp-a001-01-000000060841579,WEB_SITE,2.1158,153,4102,15900,5190.81,33.93,band1,<2.5
grp-a001-01-000000060841580,WEB_SITE,3.0214,156,23493,84500,25893.32,165.98,band1,"[2.5,4)"
grp-a001-01-000000060841581,WEB_SITE,2.9246,156,39238,67600,271.06,1.74,band2,"[2.5,4)"
grp-a001-01-000000060841582,WEB_SITE,1.8821,155,48039,46110,-21089.85,-136.06,band3,<2.5
grp-a001-01-000000060841583,WEB_SITE,2.1992,156,204568,190800,-93054.27,-596.5,band3,<2.5
grp-a001-01-000000060841584,WEB_SITE,1.7934,155,63058,47700,-35179.57,-226.96,band3,<2.5
grp-a001-01-000000060842559,WEB_SITE,2.0357,156,125728,401500,108930.09,698.27,band1,<2.5
grp-a001-01-000000060842560,WEB_SITE,1.7494,40,2847,47700,25031.43,625.79,band1,<2.5
grp-a001-01-000000060842564,WEB_SITE,3.4116,154,46638,31800,-28052.38,-182.16,band3,"[2.5,4)"
grp-a001-01-000000060842565,WEB_SITE,2.196,156,71155,131100,5466.86,35.04,band2,<2.5
grp-a001-01-000000060842566,WEB_SITE,2.6533,156,127402,160000,-33889.43,-217.24,band3,"[2.5,4)"
grp-a001-01-000000060842733,WEB_SITE,2.0627,156,11858,15900,-2565.19,-16.44,band3,<2.5
grp-a001-01-000000060842734,WEB_SITE,1.7946,156,103563,175900,-757.62,-4.86,band3,<2.5
grp-a001-01-000000060842824,WEB_SITE,2.3067,154,6722,0,-6722.0,-43.65,band3,<2.5
grp-a001-01-000000060843107,WEB_SITE,2.1174,166,52889,74600,-9288.77,-55.96,band3,<2.5
grp-a001-01-000000060843258,WEB_SITE,1.7706,165,61445,16900,-51567.74,-312.53,band3,<2.5
grp-a001-01-000000060843261,WEB_SITE,2.3462,156,10382,15900,-1089.19,-6.98,band3,<2.5
grp-a001-01-000000060843263,WEB_SITE,2.391,164,61068,66600,-22143.39,-135.02,band3,<2.5
grp-a001-01-000000060843265,WEB_SITE,2.2325,165,24458,36800,-2950.11,-17.88,band3,<2.5
grp-a001-01-000000060843278,WEB_SITE,2.5883,160,27638,33800,-7883.47,-49.27,band3,"[2.5,4)"
grp-a001-01-000000060843279,WEB_SITE,2.4241,158,8812,16900,1065.26,6.74,band2,<2.5
grp-a001-01-000000060843280,WEB_SITE,2.8779,156,5100,15900,4192.81,26.88,band1,"[2.5,4)"
grp-a001-01-000000060843281,WEB_SITE,2.8446,151,7423,0,-7423.0,-49.16,band3,"[2.5,4)"
grp-a001-01-000000060843310,WEB_SITE,1.9745,152,13051,16900,-3173.74,-20.88,band3,<2.5
grp-a001-01-000000060843311,WEB_SITE,2.6289,153,10678,304200,167112.77,1092.24,band1,"[2.5,4)"
grp-a001-01-000000060843312,WEB_SITE,2.1798,161,10932,0,-10932.0,-67.9,band3,<2.5
grp-a001-01-000000060843313,WEB_SITE,1.9536,162,33337,0,-33337.0,-205.78,band3,<2.5
grp-a001-01-000000060843314,WEB_SITE,1.9324,161,45198,67600,-5688.94,-35.34,band3,<2.5
grp-a001-01-000000060843406,WEB_SITE,2.2113,165,12938,0,-12938.0,-78.41,band3,<2.5
grp-a001-01-000000060843407,WEB_SITE,2.312,161,10955,32800,8215.08,51.03,band1,<2.5
grp-a001-01-000000060843408,WEB_SITE,1.8746,161,13871,66600,25053.61,155.61,band1,<2.5
grp-a001-01-000000060843409,WEB_SITE,2.184,160,16866,0,-16866.0,-105.41,band3,<2.5
grp-a001-01-000000060843410,WEB_SITE,2.1264,164,30315,99400,27779.68,169.39,band1,<2.5
grp-a001-01-000000060858091,WEB_SITE,3.8476,42,31179,49700,-2131.66,-50.75,band3,"[2.5,4)"
grp-a001-01-000000060858092,WEB_SITE,5.5324,42,24631,36400,-3356.89,-79.93,band3,≥4
grp-a001-01-000000060865149,WEB_SITE,5.6255,42,6669,0,-6669.0,-158.79,band3,≥4
grp-a001-01-000000060866006,WEB_SITE,2.7234,42,73210,101200,-14063.3,-334.84,band3,"[2.5,4)"
