layer,window,order_by_roas(효율축·정본),roas_spread(max-min),order_by_ad_profit_per_row(참고·행당소진강도에 비례)
L2_WEB_SITE_keyword,"355d(=2025-07-22~2026-08-09, 성숙컷 적용, L1과 동일 실측 — 확인됨)","<2.5 > [2.5,4) > >=4",0.5305,"<2.5 > [2.5,4) > >=4"
L3_SHOPPING_searchterm,"37d(=2026-07-04~2026-08-09, 성숙컷 적용, L3 자체 커버리지)","<2.5 > [2.5,4) > >=4",0.0508,">=4 > <2.5 > [2.5,4)"
L1_WEB_SITE_group(ref),"355d(=2025-07-22~2026-08-09, 성숙컷 적용, L2와 동일 실측 — 확인됨)","<2.5 > [2.5,4) > >=4",0.5007,"<2.5 > [2.5,4) > >=4"
"L1_SHOPPING_group(ref,full_analysis_window)","355d(=2025-07-22~2026-08-09, 성숙컷 적용, 전체창 — L3와 창이 다름, 참고용)",">=4 > <2.5 > [2.5,4)",0.0547,"<2.5 > [2.5,4) > >=4"
"L1_SHOPPING_group(ref,common_window=L3)","37d(=2026-07-04~2026-08-09, 성숙컷 적용, L3와 정확히 같은 창(공통창 대조용))",">=4 > [2.5,4) > <2.5",0.5714,"[2.5,4) > >=4 > <2.5"
