campaign_type,argmax_sum_conv_amt,argmax_roas,argmax_sum_ad_profit(절대액),"argmax_profit_per_group_day(일평균, 강도 오염 주의)",3채점_일치(매출/ROAS/이익절대액),dominant_in_25_40,roas_<2.5,"roas_[2.5,4)",roas_≥4,roas_spread(max-min),roas_spread_%of_mean,지배_vs_평탄
SHOPPING,≥4,≥4,≥4,<2.5,True,False,1.91,1.89,1.94,0.05,2.6,평탄(스프레드<10%)
WEB_SITE,<2.5,<2.5,<2.5,<2.5,True,False,2.39,2.18,1.89,0.5,23.2,약한 우위(10~25%)
