layer,variant,bin9,sum_ad_profit,sum_cost,sum_conv_amt,n,roas,ad_profit_per_row
L2_WEB_SITE_keyword,base,"[1,1.5)",4677235.340151956,16733203,36633260,264128,2.189255697190789,17.708214729797508
L2_WEB_SITE_keyword,base,"[1.5,2)",1715574.8252483923,5090334,11644910,40968,2.287651458627273,41.87597210623883
L2_WEB_SITE_keyword,base,"[2,2.5)",3095874.1139684385,7072881,17398740,196931,2.4599226255892046,15.72060322635054
L2_WEB_SITE_keyword,base,"[2.5,3)",548058.5639976618,3459627,6857150,38864,1.9820489318646202,14.101959757041525
L2_WEB_SITE_keyword,base,"[3,3.5)",1286506.7983635296,3973388,8999680,122975,2.2649889716282425,10.461531192222237
L2_WEB_SITE_keyword,base,"[3.5,4)",114184.25715955564,2243776,4034470,26386,1.7980716435152173,4.327456119137256
L2_WEB_SITE_keyword,base,"[4,5)",349776.8001168905,1655945,3431790,67375,2.072405786424066,5.191492395055889
L2_WEB_SITE_keyword,base,"[5,7)",-8959.431326709582,595517,1003600,31361,1.6852583553450196,-0.2856870420812341
L2_WEB_SITE_keyword,base,"[7,inf)",-292802.55639976624,367034,127010,19265,0.3460442356838876,-15.198679283662925
