layer,variant,bin3,sum_ad_profit,sum_cost,sum_conv_amt,n,roas,ad_profit_per_row,window
L3_SHOPPING_searchterm,group_weighted(그룹별 평균 후 집계),>=4,-254.8556009606507,5266.414788473524,8574.777769834525,202,1.628200229993645,-1.2616613908943104,"37d(=2026-07-04~2026-08-09, 성숙컷 적용, L3 자체 커버리지)"
"L1_WEB_SITE_group(ref, 다른SA소유 아님-내부계산)",base,<2.5,13416727.05376972,33795301.0,80779780.0,39256,2.3902666231616045,341.775194970698,"355d(=2025-07-22~2026-08-09, 성숙컷 적용, L2와 동일 실측 — 확인됨)"
"L1_WEB_SITE_group(ref, 다른SA소유 아님-내부계산)",base,"[2.5,4)",4888802.146697836,17932057.0,39046490.0,23177,2.1774685413948887,210.9333454156205,"355d(=2025-07-22~2026-08-09, 성숙컷 적용, L2와 동일 실측 — 확인됨)"
"L1_WEB_SITE_group(ref, 다른SA소유 아님-내부계산)",base,>=4,367360.18994739885,3520565.0,6652240.0,5409,1.8895376168313893,67.91647068726176,"355d(=2025-07-22~2026-08-09, 성숙컷 적용, L2와 동일 실측 — 확인됨)"
"L1_SHOPPING_group(ref, 내부계산)",base,<2.5,3365390.526592634,28391319.0,54335730.0,3182,1.9138149234982706,1057.63372928744,"355d(=2025-07-22~2026-08-09, 성숙컷 적용, 전체창 — L3와 창이 다름, 참고용)"
"L1_SHOPPING_group(ref, 내부계산)",base,"[2.5,4)",7156224.925189941,69451823.0,131076370.0,12782,1.8872992001952202,559.8673857917338,"355d(=2025-07-22~2026-08-09, 성숙컷 적용, 전체창 — L3와 창이 다름, 참고용)"
"L1_SHOPPING_group(ref, 내부계산)",base,>=4,9496891.360023372,70336253.0,136594510.0,48519,1.9420214210159874,195.73551309844333,"355d(=2025-07-22~2026-08-09, 성숙컷 적용, 전체창 — L3와 창이 다름, 참고용)"
"L1_SHOPPING_group(ref, 내부계산, 44d_common)",base,<2.5,-814093.4260666278,3158132.0,4010650.0,284,1.2699437515594663,-2866.526148121929,"37d(=2026-07-04~2026-08-09, 성숙컷 적용, L3와 정확히 같은 창(공통창 대조용))"
"L1_SHOPPING_group(ref, 내부계산, 44d_common)",base,"[2.5,4)",205862.10870835703,8075412.0,14169260.0,1371,1.7546175972198075,150.15471094701462,"37d(=2026-07-04~2026-08-09, 성숙컷 적용, L3와 정확히 같은 창(공통창 대조용))"
"L1_SHOPPING_group(ref, 내부계산, 44d_common)",base,>=4,615620.7334891869,8078675.0,14875940.0,6019,1.841383642738444,102.27957027565823,"37d(=2026-07-04~2026-08-09, 성숙컷 적용, L3와 정확히 같은 창(공통창 대조용))"
